position_id,arm,preset_id,ply,unresolved,legal_actions,action_id,direct_action_id,move_changed,legal,search_error,seconds,c1_forwards,unique_worlds,worlds_requested,candidates,matches_oracle,action_in_oracle_candidates,oracle_q,oracle_q_best,oracle_q_regret,oracle_s_regret,matches_b24_medium,matches_b24_large
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,count_LARGE,LARGE,66,31,19,207,207,0,1,,7.11696,5096,64,64,8,1,1,-0.279245,-0.138926,0.140319,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,mix_l000_LARGE,LARGE,66,31,19,207,207,0,1,,7.44077,5103,64,64,8,1,1,-0.279245,-0.138926,0.140319,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,mix_l025_LARGE,LARGE,66,31,19,207,207,0,1,,7.4358,5100,64,64,8,1,1,-0.279245,-0.138926,0.140319,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,mix_l050_LARGE,LARGE,66,31,19,207,207,0,1,,6.99792,5102,64,64,8,1,1,-0.279245,-0.138926,0.140319,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,mix_l075_LARGE,LARGE,66,31,19,207,207,0,1,,7.35085,5113,64,64,8,1,1,-0.279245,-0.138926,0.140319,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,mix_l100_LARGE,LARGE,66,31,19,207,207,0,1,,7.11818,5121,64,64,8,1,1,-0.279245,-0.138926,0.140319,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,oracle_LARGE,LARGE,66,31,19,207,207,0,1,,0.13049,81,1,64,8,1,1,-0.279245,-0.138926,0.140319,0.0,,
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0092,b24_LARGE,LARGE,92,29,32,6373,6373,0,1,,2.90585,1766,64,64,8,1,1,-1.0,-1.0,0.0,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0092,b24_MEDIUM,MEDIUM,92,29,32,6373,6373,0,1,,1.29003,765,32,32,8,1,1,-1.0,-1.0,0.0,0.0,1,
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0092,count_LARGE,LARGE,92,29,32,6373,6373,0,1,,1.26907,792,64,64,8,1,1,-1.0,-1.0,0.0,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0092,mix_l000_LARGE,LARGE,92,29,32,6373,6373,0,1,,1.98927,1161,64,64,8,1,1,-1.0,-1.0,0.0,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0092,mix_l025_LARGE,LARGE,92,29,32,6373,6373,0,1,,2.18456,1359,64,64,8,1,1,-1.0,-1.0,0.0,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0092,mix_l050_LARGE,LARGE,92,29,32,6373,6373,0,1,,2.48609,1538,64,64,8,1,1,-1.0,-1.0,0.0,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0092,mix_l075_LARGE,LARGE,92,29,32,6373,6373,0,1,,2.72608,1747,64,64,8,1,1,-1.0,-1.0,0.0,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0092,mix_l100_LARGE,LARGE,92,29,32,6373,6373,0,1,,2.65649,1766,64,64,8,1,1,-1.0,-1.0,0.0,0.0,1,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0092,oracle_LARGE,LARGE,92,29,32,6373,6373,0,1,,0.01516,9,1,64,8,1,1,-1.0,-1.0,0.0,0.0,,
phase15_match_pack_v1|ms=2026082420|opp=p18|src=phase14_learned|fam=any|col=blue|g=100|ply=0013,b24_LARGE,LARGE,13,37,15,6162,6162,0,1,,6.83171,5121,64,64,8,1,1,0.015812,0.03652,0.020708,0.0,0,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=phase14_learned|fam=any|col=blue|g=100|ply=0013,b24_MEDIUM,MEDIUM,13,37,15,6564,6162,1,1,,3.16248,2305,32,32,8,0,1,0.011941,0.03652,0.024579,0.062501,1,
phase15_match_pack_v1|ms=2026082420|opp=p18|src=phase14_learned|fam=any|col=blue|g=100|ply=0013,count_LARGE,LARGE,13,37,15,6162,6162,0,1,,6.51188,5121,64,64,8,1,1,0.015812,0.03652,0.020708,0.0,0,1
