board_id,arm_id,stratum,setup_source,player_color,ordinal,match_id,opponent_policy,outcome,effective_score,winner,terminal_reason,plies,player_decisions,seconds,player_seconds,seconds_per_player_move,c1_forwards,fallbacks
phase12_match_v1|ms=2026082003|st=strategic_rule|src=neutral|pl=red|g=00,player_direct,strategic_rule,neutral,red,0,m-98a1544ddabd2b00820bd1b0,strategic_rule_based@1.1.0,win,1.0,red,flag_capture,167,84,0.1691,0.1441,0.00172,84,0
phase12_match_v1|ms=2026082003|st=strategic_rule|src=neutral|pl=red|g=00,player_search_tiny,strategic_rule,neutral,red,0,m-98a1544ddabd2b00820bd1b0,strategic_rule_based@1.1.0,win,1.0,red,flag_capture,211,106,12.7275,12.6864,0.11968,33415,0
phase12_match_v1|ms=2026082003|st=strategic_rule|src=p10d|pl=blue|g=00,player_direct,strategic_rule,p10d,blue,0,m-ef2bcec99a6263e89acab8fa,strategic_rule_based@1.1.0,win,1.0,blue,flag_capture,212,106,0.2145,0.1815,0.00171,106,0
phase12_match_v1|ms=2026082003|st=strategic_rule|src=p10d|pl=blue|g=00,player_search_medium,strategic_rule,p10d,blue,0,m-ef2bcec99a6263e89acab8fa,strategic_rule_based@1.1.0,win,1.0,blue,flag_capture,148,74,60.8977,58.6639,0.79276,165814,0
phase12_match_v1|ms=2026082003|st=strategic_rule|src=p10d|pl=blue|g=00,player_search_tiny,strategic_rule,p10d,blue,0,m-ef2bcec99a6263e89acab8fa,strategic_rule_based@1.1.0,win,1.0,blue,flag_capture,236,118,13.2741,13.226,0.11208,32449,0
phase12_match_v1|ms=2026082003|st=strategic_rule|src=p10d|pl=red|g=00,player_direct,strategic_rule,p10d,red,0,m-596d097b55fcefcb4b1ee3a8,strategic_rule_based@1.1.0,loss,0.0,blue,flag_capture,366,183,0.3935,0.3387,0.00185,183,0
phase12_match_v1|ms=2026082003|st=strategic_rule|src=p10d|pl=red|g=00,player_search_medium,strategic_rule,p10d,red,0,m-596d097b55fcefcb4b1ee3a8,strategic_rule_based@1.1.0,win,1.0,red,flag_capture,263,132,100.0521,96.2186,0.72893,262326,0
phase12_match_v1|ms=2026082003|st=strategic_rule|src=p10d|pl=red|g=00,player_search_tiny,strategic_rule,p10d,red,0,m-596d097b55fcefcb4b1ee3a8,strategic_rule_based@1.1.0,win,1.0,red,flag_capture,301,151,18.7556,18.6978,0.12383,47060,0
phase12_match_v1|ms=2026082003|st=tactical_rule|src=neutral|pl=blue|g=00,player_direct,tactical_rule,neutral,blue,0,m-8202cfa1bc51a6a1c339f9d3,tactical_rule_based@1.0.0,loss,0.0,red,flag_capture,1,0,0.0002,0.0,,0,0
phase12_match_v1|ms=2026082003|st=tactical_rule|src=neutral|pl=blue|g=00,player_search_tiny,tactical_rule,neutral,blue,0,m-8202cfa1bc51a6a1c339f9d3,tactical_rule_based@1.0.0,loss,0.0,red,flag_capture,1,0,0.0002,0.0,,0,0
phase12_match_v1|ms=2026082003|st=tactical_rule|src=neutral|pl=red|g=00,player_direct,tactical_rule,neutral,red,0,m-3f3313590c72f652ead74c93,tactical_rule_based@1.0.0,win,1.0,red,flag_capture,3,2,0.0042,0.0039,0.00194,2,0
phase12_match_v1|ms=2026082003|st=tactical_rule|src=neutral|pl=red|g=00,player_search_tiny,tactical_rule,neutral,red,0,m-3f3313590c72f652ead74c93,tactical_rule_based@1.0.0,win,1.0,red,flag_capture,3,2,0.2287,0.2284,0.11418,602,0
phase12_match_v1|ms=2026082003|st=tactical_rule|src=p10d|pl=blue|g=00,player_direct,tactical_rule,p10d,blue,0,m-e0f5944114b0588e8af06535,tactical_rule_based@1.0.0,draw,0.5,,battleless_move_limit_draw,539,269,0.5534,0.4781,0.00178,269,0
phase12_match_v1|ms=2026082003|st=tactical_rule|src=p10d|pl=blue|g=00,player_search_tiny,tactical_rule,p10d,blue,0,m-e0f5944114b0588e8af06535,tactical_rule_based@1.0.0,loss,0.0,red,flag_capture,217,108,13.2831,13.241,0.1226,33225,0
phase12_match_v1|ms=2026082003|st=tactical_rule|src=p10d|pl=red|g=00,player_direct,tactical_rule,p10d,red,0,m-c50f4662b2594f204d6f770e,tactical_rule_based@1.0.0,win,1.0,red,flag_capture,1,1,0.002,0.0019,0.00192,1,0
phase12_match_v1|ms=2026082003|st=tactical_rule|src=p10d|pl=red|g=00,player_search_tiny,tactical_rule,p10d,red,0,m-c50f4662b2594f204d6f770e,tactical_rule_based@1.0.0,win,1.0,red,flag_capture,1,1,0.0919,0.0919,0.09186,221,0
