board_id,arm_id,stratum,setup_source,player_color,ordinal,match_id,opponent_policy,outcome,effective_score,winner,terminal_reason,plies,player_decisions,seconds,player_seconds,seconds_per_player_move,move_changes,move_change_rate,c1_forwards
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=red|g=01,search_agent1c,phase9_selfplay,neutral,red,1,m-3b186ee776922ce7b7e55aca,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,blue,flag_capture,220,110,35.9024,35.6505,0.3241,18,0.16364,96819
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=red|g=01,search_oracle,phase9_selfplay,neutral,red,1,m-3b186ee776922ce7b7e55aca,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,225,113,4.92,4.6824,0.04144,13,0.11504,6381
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=red|g=01,search_original_phase11,phase9_selfplay,neutral,red,1,m-3b186ee776922ce7b7e55aca,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,519,260,85.6947,85.0965,0.32729,22,0.08462,228712
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=neutral|pl=red|g=01,search_remaining_count,phase9_selfplay,neutral,red,1,m-3b186ee776922ce7b7e55aca,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,411,206,68.3846,67.911,0.32967,15,0.07282,183171
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=00,direct_c1,phase9_selfplay,p10d,blue,0,m-d64783b6c763c3c4b3c1cf9f,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,1,0,0.0021,0.0,,0,,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=00,search_agent1c,phase9_selfplay,p10d,blue,0,m-d64783b6c763c3c4b3c1cf9f,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,1,0,0.0019,0.0,,0,,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=00,search_oracle,phase9_selfplay,p10d,blue,0,m-d64783b6c763c3c4b3c1cf9f,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,1,0,0.002,0.0,,0,,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=00,search_original_phase11,phase9_selfplay,p10d,blue,0,m-d64783b6c763c3c4b3c1cf9f,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,1,0,0.002,0.0,,0,,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=00,search_remaining_count,phase9_selfplay,p10d,blue,0,m-d64783b6c763c3c4b3c1cf9f,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,1,0,0.0019,0.0,,0,,0
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=01,direct_c1,phase9_selfplay,p10d,blue,1,m-5c88e7bf17f53fa506911507,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,61,30,0.1161,0.054,0.0018,0,,30
