[train 14:09:36] fresh init raw c549bc02e974 ema c549bc02e974 | 6400 library formations | 56 cells
[train 14:23:53] p034 games 2048 rw/bw/d 783/827/438 | rows 3037 steps 15 | pol 0.0002 val 1.0607 kl 0.00036 H 1.847 | ema 62815f9d | 25s (play 18)
[train 14:24:18] p035 games 2048 rw/bw/d 802/797/449 | rows 3017 steps 15 | pol -0.0102 val 1.0674 kl 0.00046 H 1.847 | ema d43af803 | 25s (play 18)
[train 14:24:43] p036 games 2048 rw/bw/d 800/794/454 | rows 3033 steps 15 | pol 0.0086 val 1.0686 kl 0.00031 H 1.844 | ema 04811982 | 25s (play 18)
[train 14:25:08] p037 games 2048 rw/bw/d 775/806/467 | rows 3008 steps 15 | pol 0.0128 val 1.0704 kl 0.00022 H 1.839 | ema 2ff48b28 | 25s (play 18)
[train 14:25:33] p038 games 2048 rw/bw/d 813/791/444 | rows 3031 steps 15 | pol -0.0085 val 1.0653 kl 0.00016 H 1.838 | ema 4d1c2d82 | 25s (play 18)
[train 14:25:58] p039 games 2048 rw/bw/d 844/754/450 | rows 3002 steps 15 | pol -0.0056 val 1.0690 kl 0.00026 H 1.840 | ema ed739a5c | 25s (play 18)
[train 14:26:22] p040 games 2048 rw/bw/d 783/798/467 | rows 3010 steps 15 | pol 0.0073 val 1.0699 kl 0.00037 H 1.834 | ema 9fa10825 | 24s (play 18)
[train 14:26:48] p041 games 2048 rw/bw/d 800/817/431 | rows 3017 steps 15 | pol 0.0133 val 1.0619 kl 0.00042 H 1.828 | ema a43791ad | 26s (play 19)
[train 14:27:13] p042 games 2048 rw/bw/d 779/799/470 | rows 3003 steps 15 | pol -0.0286 val 1.0746 kl 0.00074 H 1.835 | ema 40019806 | 25s (play 18)
[train 14:27:38] p043 games 2048 rw/bw/d 779/812/457 | rows 3011 steps 15 | pol 0.0085 val 1.0704 kl 0.00015 H 1.836 | ema 487143fe | 25s (play 18)
[train 14:28:03] p044 games 2048 rw/bw/d 819/784/445 | rows 3040 steps 15 | pol 0.0068 val 1.0655 kl 0.00035 H 1.831 | ema cf5d5c7a | 25s (play 18)
[train 14:28:28] p045 games 2048 rw/bw/d 774/830/444 | rows 3031 steps 15 | pol 0.0204 val 1.0656 kl 0.00025 H 1.827 | ema b8f44887 | 26s (play 19)
[train 14:28:53] p046 games 2048 rw/bw/d 786/807/455 | rows 3028 steps 15 | pol -0.0264 val 1.0683 kl 0.00045 H 1.829 | ema 9be591d1 | 24s (play 18)
[train 14:29:18] p047 games 2048 rw/bw/d 811/779/458 | rows 3033 steps 15 | pol 0.0320 val 1.0689 kl 0.00025 H 1.820 | ema e5af0d3e | 25s (play 18)
[train 14:29:44] p048 games 2048 rw/bw/d 795/797/456 | rows 3056 steps 15 | pol -0.0264 val 1.0684 kl 0.00008 H 1.820 | ema d2586589 | 26s (play 19)
[train 14:30:09] p049 games 2048 rw/bw/d 811/798/439 | rows 3010 steps 15 | pol 0.0340 val 1.0637 kl 0.00013 H 1.818 | ema 325cfc5c | 25s (play 18)
[train 14:30:33] p050 games 2048 rw/bw/d 769/807/472 | rows 3022 steps 15 | pol -0.0273 val 1.0713 kl 0.00009 H 1.818 | ema 25836fa4 | 25s (play 18)
[train 14:30:58] p051 games 2048 rw/bw/d 798/795/455 | rows 3030 steps 15 | pol 0.0144 val 1.0665 kl 0.00011 H 1.816 | ema d80b23b6 | 25s (play 18)
[train 14:31:23] p052 games 2048 rw/bw/d 807/792/449 | rows 3050 steps 15 | pol -0.0230 val 1.0677 kl 0.00010 H 1.820 | ema d7e31e83 | 25s (play 18)
[train 14:31:48] p053 games 2048 rw/bw/d 828/783/437 | rows 3040 steps 15 | pol 0.0126 val 1.0674 kl 0.00013 H 1.815 | ema 854deddf | 25s (play 18)
[train 14:32:13] p054 games 2048 rw/bw/d 792/806/450 | rows 3017 steps 15 | pol -0.0119 val 1.0646 kl 0.00012 H 1.814 | ema 387bd469 | 25s (play 18)
[train 14:32:39] p055 games 2048 rw/bw/d 787/824/437 | rows 2986 steps 15 | pol 0.0152 val 1.0625 kl 0.00009 H 1.812 | ema 18db1a78 | 25s (play 19)
[train 14:33:04] p056 games 2048 rw/bw/d 821/766/461 | rows 3034 steps 15 | pol -0.0142 val 1.0703 kl 0.00012 H 1.815 | ema 293a55d5 | 25s (play 18)
[train 14:33:29] p057 games 2048 rw/bw/d 799/803/446 | rows 3018 steps 15 | pol 0.0222 val 1.0637 kl 0.00010 H 1.811 | ema c7635016 | 25s (play 19)
[train 14:33:54] p058 games 2048 rw/bw/d 824/775/449 | rows 3052 steps 15 | pol -0.0192 val 1.0663 kl 0.00009 H 1.810 | ema 928b2c0c | 25s (play 18)
[train 14:34:19] p059 games 2048 rw/bw/d 809/796/443 | rows 2993 steps 15 | pol 0.0140 val 1.0644 kl 0.00010 H 1.808 | ema 2f1de744 | 25s (play 18)
