label,num_workers,num_environments,environments_per_worker,measured_steps,measured_seconds,startup_seconds,positions,positions_per_second,transitions_per_second,observation_builds_per_second,microseconds_per_position,mean_step_seconds,p50_step_seconds,p95_step_seconds,max_step_seconds,coordinator_wait_fraction,coordinator_policy_fraction,coordinator_dispatch_fraction,barrier_wait_fraction,worker_active_fraction,coordinator_cpu_seconds,worker_cpu_seconds,cpu_cores_busy,cpu_utilization,shared_memory_bytes,coordinator_max_rss_bytes,worker_max_rss_bytes,total_memory_bytes,terminals,resets,error
screen,4,256,64.0,788,4.004868207997788,0.08796512499975506,201728,50370.6962434234,50370.6962434234,50370.6962434234,19.852812737933196,0.004555052236000062,0.004523166999206296,0.004886968201390118,0.009228417002304923,0.8886819538593927,0.10259717116841081,0.004472129430403262,0.058516146807669187,0.8492621489295951,0.518853,13.673809999999992,3.5438526969893815,0.2531323354992415,15580416,117637120,286638080,419855616,328,328,
screen,6,256,42.666666666666664,1080,4.001470125000196,0.09292350000032457,276480,69094.60557324202,69094.60557324202,69094.60557324202,14.47290988498335,0.0031666973249129013,0.003126916499240906,0.0034974211501321404,0.003987749998486834,0.8405735169574445,0.14348498454101882,0.009106380353144086,0.10038814371994473,0.7805982642378332,0.7878999999999996,18.91784700000002,4.924626795757735,0.3517590568398382,15580416,117719040,373637120,506936576,488,488,
screen,8,256,32.0,1324,4.002180291001423,0.09681733300021733,338944,84689.83787714112,84689.83787714112,84689.83787714112,11.807792116105974,0.0024820384381219946,0.0024282714985019993,0.0028321641993898083,0.00358908300040639,0.7998142270832229,0.1764790897753494,0.014408661958132072,0.09853762883954612,0.7241637569489496,1.0197250000000002,23.449418000000023,6.113953200713347,0.4367109429080962,15580416,117735424,454459392,587775232,615,615,
screen,10,256,25.6,1472,4.00066116599919,0.10115391699946485,376832,94192.43079184483,94192.43079184483,94192.43079184483,10.61656432043773,0.0021772396814101385,0.0020722295012092218,0.002731348399538547,0.00794783300079871,0.7731336541009255,0.19605527700647593,0.019524995454749755,0.1392123183746301,0.6651819944163965,1.1969180000000001,26.927813999999984,7.030020997285746,0.5021443569489819,15580416,117735424,534609920,667925760,691,691,
screen,12,256,21.333333333333332,1330,4.000660667003103,0.12327175000245916,340480,85105.94332786882,85105.94332786882,85105.94332786882,11.75006069960968,0.002472513049565863,0.002445478998197359,0.002731620798840595,0.003860082997562131,0.7927105235900461,0.17528882210952534,0.02093808220744832,0.315076212620836,0.5466454539094733,1.164128999999999,26.562063000000013,6.930403327800784,0.49502880912862746,15580416,117735424,618528768,751844608,617,617,
screen,4,512,128.0,385,4.0034436249989085,0.10000558399769943,197120,49237.611032940105,49237.611032940105,49237.611032940105,20.309677480716864,0.00935275747015348,0.00934229199992842,0.0098563086015929,0.01044983400061028,0.8943984857456386,0.09975584707281694,0.002727339761313382,0.04234679637155203,0.866861081186908,0.4663430000000002,13.935702999999993,3.5974144634055936,0.2569581759575424,31160832,117735424,366657536,515553792,277,277,
screen,6,512,85.33333333333333,543,4.005277625001327,0.09970779200011748,278016,69412.41682339259,69412.41682339259,69412.41682339259,14.406644311842939,0.006328840854504129,0.006285542000114219,0.006743916599589284,0.012851832998421742,0.8497481068108598,0.14089378911460196,0.0050280976312258125,0.08180143691862517,0.8057479086757974,0.6889959999999995,19.470635000000016,5.03326682628981,0.3595190590207007,31160832,117735424,476233728,625129984,417,417,
screen,8,512,64.0,684,4.000597625003138,0.10263941700031864,350208,87538.92113799504,87538.92113799504,87538.92113799504,11.423490111599786,0.004807853245635101,0.004780021497936104,0.005192749950583675,0.0059997080024913885,0.809715827152181,0.1765460179225019,0.00793477099354635,0.0696222312352366,0.7602844310966171,0.8960870000000014,24.494455000000034,6.3466872652508055,0.45333480466077186,31160832,117735424,571899904,720796160,553,553,
screen,10,512,51.2,766,4.002556291001383,0.10755320799944457,392192,97985.38021357323,97985.38021357323,97985.38021357323,10.205604119924383,0.004179647768902623,0.004072271001859917,0.00486928099871875,0.0060900000025867485,0.7833288603751537,0.19834227861850656,0.011031782633147736,0.10704588939966106,0.7041739835446283,1.0539749999999994,28.406675999999997,7.3604588812989205,0.5257470629499229,31160832,117735424,656539648,805435904,639,639,
screen,12,512,42.666666666666664,682,4.005464875001053,0.12261620799836237,349184,87176.8972883349,87176.8972883349,87176.8972883349,11.470929008777759,0.0048298362785303955,0.004800916500244057,0.0051546228996812715,0.0060527090026880614,0.805655543034009,0.17600099589548363,0.011445697417704454,0.3028047467409546,0.5684056213736844,0.9839029999999998,27.480117999999983,7.106296494484301,0.5075926067488786,31160832,117735424,734461952,883358208,551,551,
screen,4,1024,256.0,193,4.019329499999003,0.11840949999896111,197632,49170.39023549799,49170.39023549799,49170.39023549799,20.33744282301957,0.018803258574890593,0.01887370799886412,0.019500424798752646,0.02040145800128812,0.8999462970147947,0.09663721424080787,0.0015335799213479558,0.03266144863059213,0.8800934305146025,0.427524,14.174945000000001,3.6330609371547227,0.25950435265390875,62321664,120356864,442941440,625619968,299,299,
screen,6,1024,170.66666666666666,271,4.004072374998941,0.1142018749997078,277504,69305.440564139,69305.440564139,69305.440564139,14.4288816557561,0.012747231420639445,0.01271837500098627,0.01341318750019127,0.02428620799764758,0.8579515985947105,0.1365880033536008,0.0027248296179146693,0.05119470474132385,0.8293518315840138,0.6200240000000008,19.98027500000002,5.1448368237863,0.3674883445561643,62321664,120356864,579960832,762639360,411,411,
screen,8,1024,128.0,343,4.007094791999407,0.11662637499830453,351232,87652.5308812939,87652.5308812939,87652.5308812939,11.408683696244667,0.009653111154427541,0.009648457998991944,0.010259887499341857,0.010800125000969274,0.8189686444454554,0.17281143146118338,0.00441822165446026,0.04982777930792048,0.7860297042462046,0.8074070000000013,25.294871000000004,6.514015603552976,0.4652868288252126,62321664,120356864,709263360,891941888,507,507,
screen,10,1024,102.4,379,4.007411292001052,0.11668454200116685,388096,96844.56416406637,96844.56416406637,96844.56416406637,10.325824775316034,0.008508279451092974,0.008312166002724553,0.0099051164001139,0.014927667001757072,0.7951085765358576,0.19425048373380108,0.0060625257028850766,0.10852495148069667,0.7184850434343494,0.9379650000000019,28.899906000000026,7.445672237226454,0.531833731230461,62321664,120356864,813252608,995931136,555,555,
screen,12,1024,85.33333333333333,343,4.001635917000385,0.1412625829980243,351232,87772.10303112296,87772.10303112296,87772.10303112296,11.393141618646322,0.009638335547996186,0.009671083000284852,0.010163774701504735,0.011825834000774194,0.8169009314638868,0.1728715391233575,0.006010998882088506,0.29302600142867147,0.5872231828998196,0.8639860000000006,28.24981000000001,7.275473482311112,0.5196766773079365,62321664,120356864,869793792,1052472320,507,507,
screen,4,1536,384.0,130,4.014631083002314,0.13578679200145416,199680,49738.069544031605,49738.069544031605,49738.069544031605,20.105323933304856,0.02790098397672409,0.0280285829994682,0.029185940249044508,0.04145895799956634,0.9013644208344489,0.09618574559337228,0.0010799261287527551,0.02304734459129651,0.8866067817111799,0.4135130000000018,14.251532,3.6528997800298124,0.26092141285927234,93482496,151879680,497041408,742403584,340,340,
screen,6,1536,256.0,183,4.021495208002307,0.1245881670001836,281088,69896.39063616628,69896.39063616628,69896.39063616628,14.306890397321503,0.018994115256904618,0.019111583002086263,0.019909975602422494,0.021297040999343153,0.8608036729952503,0.13517524997263072,0.001993829305624143,0.037825211541419476,0.8383361104019404,0.5975230000000025,20.270880999999992,5.189215185057116,0.3706582275040797,93482496,151912448,647315456,892710400,452,452,
screen,8,1536,192.0,224,4.017038666999724,0.12080774999776622,344064,85651.15462455258,85651.15462455258,85651.15462455258,11.675265842981899,0.0148069449288479,0.014856187501209206,0.01568528924963175,0.01634720800211653,0.820505317032978,0.1736544459278099,0.0030429604956864796,0.05867706525789036,0.7859377735916696,0.7820140000000002,25.308104999999994,6.4948637946486025,0.46391884247490023,93482496,151912448,779468800,1024863744,522,522,
screen,10,1536,153.6,250,4.000992041001155,0.12876862499979325,384000,95976.19691938027,95976.19691938027,95976.19691938027,10.41925010677384,0.01270308286783984,0.012725854498057743,0.013464487500277754,0.017771374998119427,0.7872415240204461,0.2054885334875126,0.004010096469915937,0.08438607138323191,0.7363518774854404,0.9352720000000012,29.52951400000002,7.6143080735489095,0.5438791481106364,93482496,151928832,890716160,1136127488,573,573,
screen,12,1536,128.0,226,4.008843250001519,0.1459139580001647,347136,86592.56008572261,86592.56008572261,86592.56008572261,11.548336242860202,0.014593765716778916,0.014618375500504044,0.015598656249494525,0.030828457998723025,0.8159325304035765,0.17650201563843101,0.00429028572777508,0.2931364517637053,0.5929777284035934,0.8352599999999981,28.37492000000001,7.2864360560839945,0.5204597182917139,93482496,151928832,939868160,1185279488,526,526,
screen,4,2048,512.0,98,4.054098042000987,0.15905879199999617,200704,49506.44950385517,49506.44950385517,49506.44950385517,20.199388362967294,0.037443888204135724,0.0371123125005397,0.03869843120210134,0.06252500000118744,0.90342877627315,0.09459779981752481,0.0008503227998331882,0.03586608475279184,0.8804768564486342,0.4058899999999994,14.284419000000003,3.6235702362909024,0.2588264454493502,124643328,183238656,546668544,854550528,354,354,
