[g3 14:52:03] candidate: resumed from the latest complete verified bundle bundle_0001 at period 1
[g3 17:08:44] [candidate] period 61/256: games 2029 (in flight 2550), c1 step 3904, setup update, 139.817 s
[g3 17:11:04] [candidate] period 62/256: games 2071 (in flight 2553), c1 step 3968, setup update, 140.405 s
[g3 17:13:30] [candidate] period 63/256: games 2073 (in flight 2544), c1 step 4032, setup update, 145.422 s
[g3 17:16:05] [candidate] period 64/256: games 2092 (in flight 2546), c1 step 4096, setup update, 141.694 s, bundle 6101c415a720
[g3 17:18:26] [candidate] period 65/256: games 2070 (in flight 2551), c1 step 4160, setup update, 140.688 s
[g3 17:20:47] [candidate] period 66/256: games 2041 (in flight 2548), c1 step 4224, setup update, 141.388 s
[g3 17:23:08] [candidate] period 67/256: games 2092 (in flight 2549), c1 step 4288, setup update, 140.731 s
[g3 17:25:29] [candidate] period 68/256: games 2058 (in flight 2547), c1 step 4352, setup update, 141.024 s
[g3 17:27:51] [candidate] period 69/256: games 2094 (in flight 2548), c1 step 4416, setup update, 141.443 s
[g3 17:30:13] [candidate] period 70/256: games 2070 (in flight 2552), c1 step 4480, setup update, 141.974 s
[g3 17:32:38] [candidate] period 71/256: games 2056 (in flight 2550), c1 step 4544, setup update, 145.123 s
[g3 17:34:59] [candidate] period 72/256: games 2040 (in flight 2554), c1 step 4608, setup update, 141.05 s
[g3 17:37:22] [candidate] period 73/256: games 2069 (in flight 2544), c1 step 4672, setup update, 142.443 s
[g3 17:39:44] [candidate] period 74/256: games 2093 (in flight 2553), c1 step 4736, setup update, 142.257 s
[g3 17:42:07] [candidate] period 75/256: games 2072 (in flight 2554), c1 step 4800, setup update, 142.914 s
[g3 17:44:29] [candidate] period 76/256: games 2019 (in flight 2548), c1 step 4864, setup update, 141.931 s
[g3 17:46:51] [candidate] period 77/256: games 2132 (in flight 2554), c1 step 4928, setup update, 141.552 s
[g3 17:49:16] [candidate] period 78/256: games 2093 (in flight 2543), c1 step 4992, setup update, 144.918 s
[g3 17:51:45] [candidate] period 79/256: games 2055 (in flight 2548), c1 step 5056, setup update, 148.966 s
[g3 17:54:07] [candidate] period 80/256: games 2081 (in flight 2550), c1 step 5120, setup update, 141.33 s
[g3 17:56:29] [candidate] period 81/256: games 2068 (in flight 2547), c1 step 5184, setup update, 141.832 s
[g3 17:58:51] [candidate] period 82/256: games 1993 (in flight 2550), c1 step 5248, setup update, 142.131 s
[g3 18:01:14] [candidate] period 83/256: games 2143 (in flight 2553), c1 step 5312, setup update, 143.094 s
[g3 18:03:36] [candidate] period 84/256: games 2132 (in flight 2544), c1 step 5376, setup update, 141.494 s
[g3 18:05:58] [candidate] period 85/256: games 2051 (in flight 2549), c1 step 5440, setup update, 142.39 s
[g3 18:08:27] [candidate] period 86/256: games 2076 (in flight 2555), c1 step 5504, setup update, 148.779 s
[g3 18:10:50] [candidate] period 87/256: games 2095 (in flight 2548), c1 step 5568, setup update, 142.808 s
[g3 18:13:12] [candidate] period 88/256: games 2024 (in flight 2545), c1 step 5632, setup update, 141.37 s
[g3 18:15:34] [candidate] period 89/256: games 2044 (in flight 2548), c1 step 5696, setup update, 142.49 s
[g3 18:17:58] [candidate] period 90/256: games 2079 (in flight 2547), c1 step 5760, setup update, 144.093 s
[g3 18:20:23] [candidate] period 91/256: games 2048 (in flight 2553), c1 step 5824, setup update, 144.794 s
[g3 18:22:48] [candidate] period 92/256: games 2048 (in flight 2547), c1 step 5888, setup update, 144.661 s
[g3 18:25:12] [candidate] period 93/256: games 2031 (in flight 2542), c1 step 5952, setup update, 143.743 s
[g3 18:27:40] [candidate] period 94/256: games 2074 (in flight 2546), c1 step 6016, setup update, 147.805 s
[g3 18:30:04] [candidate] period 95/256: games 2101 (in flight 2547), c1 step 6080, setup update, 144.19 s
[g3 18:32:45] [candidate] period 96/256: games 2085 (in flight 2543), c1 step 6144, setup update, 146.717 s, bundle 2d42d9656013
[g3 18:35:06] [candidate] period 97/256: games 2049 (in flight 2554), c1 step 6208, setup update, 141.143 s
[g3 18:37:37] [candidate] period 98/256: games 2028 (in flight 2550), c1 step 6272, setup update, 151.124 s
[g3 18:39:59] [candidate] period 99/256: games 2086 (in flight 2547), c1 step 6336, setup update, 141.46 s
[g3 18:42:23] [candidate] period 100/256: games 2046 (in flight 2551), c1 step 6400, setup update, 143.961 s
[g3 18:44:50] [candidate] period 101/256: games 2116 (in flight 2551), c1 step 6464, setup update, 146.626 s
[g3 18:47:18] [candidate] period 102/256: games 2039 (in flight 2548), c1 step 6528, setup update, 147.891 s
[g3 18:49:43] [candidate] period 103/256: games 2038 (in flight 2552), c1 step 6592, setup update, 144.873 s
[g3 18:52:05] [candidate] period 104/256: games 2042 (in flight 2552), c1 step 6656, setup update, 141.907 s
[g3 18:54:29] [candidate] period 105/256: games 2064 (in flight 2550), c1 step 6720, setup update, 144.081 s
[g3 18:56:51] [candidate] period 106/256: games 2074 (in flight 2550), c1 step 6784, setup update, 141.613 s
[g3 18:59:13] [candidate] period 107/256: games 2062 (in flight 2549), c1 step 6848, setup update, 142.602 s
[g3 19:01:37] [candidate] period 108/256: games 2025 (in flight 2555), c1 step 6912, setup update, 143.812 s
[g3 19:04:02] [candidate] period 109/256: games 2078 (in flight 2545), c1 step 6976, setup update, 144.226 s
[g3 19:06:30] [candidate] period 110/256: games 2076 (in flight 2555), c1 step 7040, setup update, 148.393 s
[g3 19:08:58] [candidate] period 111/256: games 2035 (in flight 2550), c1 step 7104, setup update, 147.999 s
[g3 19:11:25] [candidate] period 112/256: games 2062 (in flight 2545), c1 step 7168, setup update, 146.133 s
[g3 19:13:48] [candidate] period 113/256: games 2070 (in flight 2552), c1 step 7232, setup update, 143.422 s
[g3 19:16:15] [candidate] period 114/256: games 2083 (in flight 2547), c1 step 7296, setup update, 146.453 s
[g3 19:18:39] [candidate] period 115/256: games 1990 (in flight 2541), c1 step 7360, setup update, 144.135 s
[g3 19:21:03] [candidate] period 116/256: games 2097 (in flight 2553), c1 step 7424, setup update, 144.134 s
[g3 19:23:33] [candidate] period 117/256: games 2093 (in flight 2552), c1 step 7488, setup update, 149.2 s
[g3 19:26:03] [candidate] period 118/256: games 2096 (in flight 2548), c1 step 7552, setup update, 150.149 s
[g3 19:28:37] [candidate] period 119/256: games 2096 (in flight 2551), c1 step 7616, setup update, 153.582 s
[g3 19:30:58] [candidate] period 120/256: games 2111 (in flight 2551), c1 step 7680, setup update, 141.635 s
[g3 19:33:29] [candidate] period 121/256: games 2076 (in flight 2549), c1 step 7744, setup update, 150.35 s
[g3 19:35:59] [candidate] period 122/256: games 2031 (in flight 2551), c1 step 7808, setup update, 149.904 s
[g3 19:38:35] [candidate] period 123/256: games 2074 (in flight 2554), c1 step 7872, setup update, 155.381 s
[g3 19:40:56] [candidate] period 124/256: games 2030 (in flight 2548), c1 step 7936, setup update, 141.812 s
[g3 19:43:31] [candidate] period 125/256: games 2133 (in flight 2549), c1 step 8000, setup update, 154.516 s
[g3 19:46:05] [candidate] period 126/256: games 2042 (in flight 2552), c1 step 8064, setup update, 154.049 s
[g3 19:48:32] [candidate] period 127/256: games 2085 (in flight 2548), c1 step 8128, setup update, 146.574 s
[g3 19:51:17] [candidate] period 128/256: games 2070 (in flight 2545), c1 step 8192, setup update, 151.121 s, bundle b612ef86529b
[g3 19:53:45] [candidate] period 129/256: games 2049 (in flight 2551), c1 step 8256, setup update, 147.796 s
[g3 19:56:15] [candidate] period 130/256: games 2038 (in flight 2553), c1 step 8320, setup update, 150.05 s
[g3 19:58:47] [candidate] period 131/256: games 2065 (in flight 2549), c1 step 8384, setup update, 151.2 s
[g3 20:01:12] [candidate] period 132/256: games 2094 (in flight 2545), c1 step 8448, setup update, 144.974 s
[g3 20:03:51] [candidate] period 133/256: games 2106 (in flight 2550), c1 step 8512, setup update, 159.483 s
[g3 20:06:22] [candidate] period 134/256: games 2003 (in flight 2548), c1 step 8576, setup update, 150.24 s
[g3 20:08:44] [candidate] period 135/256: games 2031 (in flight 2551), c1 step 8640, setup update, 142.034 s
[g3 20:11:30] [candidate] period 136/256: games 2056 (in flight 2546), c1 step 8704, setup update, 166.16 s
[g3 20:14:17] [candidate] period 137/256: games 2019 (in flight 2548), c1 step 8768, setup update, 165.941 s
[g3 20:16:49] [candidate] period 138/256: games 2074 (in flight 2555), c1 step 8832, setup update, 152.343 s
[g3 20:19:14] [candidate] period 139/256: games 2030 (in flight 2543), c1 step 8896, setup update, 144.704 s
[g3 20:21:58] [candidate] period 140/256: games 2026 (in flight 2552), c1 step 8960, setup update, 164.501 s
[g3 20:24:49] [candidate] period 141/256: games 2015 (in flight 2549), c1 step 9024, setup update, 170.572 s
[g3 20:27:11] [candidate] period 142/256: games 2117 (in flight 2553), c1 step 9088, setup update, 141.863 s
[g3 20:29:52] [candidate] period 143/256: games 2040 (in flight 2553), c1 step 9152, setup update, 160.676 s
[g3 20:32:29] [candidate] period 144/256: games 1997 (in flight 2554), c1 step 9216, setup update, 157.378 s
[g3 20:34:54] [candidate] period 145/256: games 2105 (in flight 2548), c1 step 9280, setup update, 144.594 s
[g3 20:37:42] [candidate] period 146/256: games 2021 (in flight 2546), c1 step 9344, setup update, 167.419 s
[g3 20:40:23] [candidate] period 147/256: games 1992 (in flight 2550), c1 step 9408, setup update, 161.319 s
[g3 20:42:45] [candidate] period 148/256: games 2056 (in flight 2551), c1 step 9472, setup update, 141.549 s
[g3 20:45:35] [candidate] period 149/256: games 2022 (in flight 2550), c1 step 9536, setup update, 169.522 s
[g3 20:48:25] [candidate] period 150/256: games 2034 (in flight 2553), c1 step 9600, setup update, 170.097 s
[g3 20:50:46] [candidate] period 151/256: games 2036 (in flight 2551), c1 step 9664, setup update, 141.151 s
[g3 20:53:37] [candidate] period 152/256: games 2092 (in flight 2545), c1 step 9728, setup update, 170.697 s
[g3 20:56:29] [candidate] period 153/256: games 2042 (in flight 2549), c1 step 9792, setup update, 171.474 s
[g3 20:58:52] [candidate] period 154/256: games 2029 (in flight 2551), c1 step 9856, setup update, 143.655 s
[g3 21:01:36] [candidate] period 155/256: games 2022 (in flight 2550), c1 step 9920, setup update, 163.133 s
[g3 21:04:26] [candidate] period 156/256: games 2027 (in flight 2552), c1 step 9984, setup update, 169.896 s
[g3 21:06:50] [candidate] period 157/256: games 2031 (in flight 2551), c1 step 10048, setup update, 144.576 s
[g3 21:09:43] [candidate] period 158/256: games 2109 (in flight 2549), c1 step 10112, setup update, 172.678 s
[g3 21:12:34] [candidate] period 159/256: games 2059 (in flight 2552), c1 step 10176, setup update, 170.843 s
[g3 21:15:07] [candidate] period 160/256: games 2040 (in flight 2547), c1 step 10240, setup update, 139.028 s, bundle 61b5883a95f1
[g3 21:17:52] [candidate] period 161/256: games 2055 (in flight 2550), c1 step 10304, setup update, 164.834 s
[g3 21:20:33] [candidate] period 162/256: games 2067 (in flight 2550), c1 step 10368, setup update, 161.003 s
[g3 21:22:55] [candidate] period 163/256: games 2019 (in flight 2550), c1 step 10432, setup update, 141.812 s
[g3 21:25:48] [candidate] period 164/256: games 2018 (in flight 2549), c1 step 10496, setup update, 172.968 s
[g3 21:28:46] [candidate] period 165/256: games 2091 (in flight 2551), c1 step 10560, setup update, 178.014 s
[g3 21:31:09] [candidate] period 166/256: games 2028 (in flight 2553), c1 step 10624, setup update, 142.281 s
[g3 21:34:04] [candidate] period 167/256: games 2071 (in flight 2545), c1 step 10688, setup update, 174.578 s
[g3 21:36:39] [candidate] period 168/256: games 1987 (in flight 2546), c1 step 10752, setup update, 155.607 s
[g3 21:39:11] [candidate] period 169/256: games 2043 (in flight 2549), c1 step 10816, setup update, 151.32 s
[g3 21:42:02] [candidate] period 170/256: games 2013 (in flight 2544), c1 step 10880, setup update, 170.547 s
[g3 21:44:32] [candidate] period 171/256: games 1985 (in flight 2547), c1 step 10944, setup update, 150.447 s
[g3 21:47:16] [candidate] period 172/256: games 2075 (in flight 2545), c1 step 11008, setup update, 163.632 s
[g3 21:50:08] [candidate] period 173/256: games 2074 (in flight 2544), c1 step 11072, setup update, 171.911 s
[g3 21:52:31] [candidate] period 174/256: games 2011 (in flight 2546), c1 step 11136, setup update, 142.734 s
[g3 21:55:21] [candidate] period 175/256: games 2044 (in flight 2547), c1 step 11200, setup update, 170.219 s
[g3 21:58:12] [candidate] period 176/256: games 2051 (in flight 2551), c1 step 11264, setup update, 170.839 s
[g3 22:00:36] [candidate] period 177/256: games 2007 (in flight 2551), c1 step 11328, setup update, 143.533 s
[g3 22:03:29] [candidate] period 178/256: games 2099 (in flight 2544), c1 step 11392, setup update, 172.994 s
[g3 22:05:56] [candidate] period 179/256: games 2068 (in flight 2545), c1 step 11456, setup update, 146.59 s
[g3 22:08:49] [candidate] period 180/256: games 2066 (in flight 2548), c1 step 11520, setup update, 172.529 s
[g3 22:11:43] [candidate] period 181/256: games 2025 (in flight 2553), c1 step 11584, setup update, 174.664 s
[g3 22:14:10] [candidate] period 182/256: games 2018 (in flight 2550), c1 step 11648, setup update, 146.122 s
[g3 22:17:02] [candidate] period 183/256: games 2061 (in flight 2549), c1 step 11712, setup update, 171.367 s
[g3 22:19:38] [candidate] period 184/256: games 2021 (in flight 2548), c1 step 11776, setup update, 155.93 s
[g3 22:22:13] [candidate] period 185/256: games 2026 (in flight 2553), c1 step 11840, setup update, 154.805 s
[g3 22:25:01] [candidate] period 186/256: games 1986 (in flight 2550), c1 step 11904, setup update, 168.149 s
[g3 22:27:27] [candidate] period 187/256: games 1999 (in flight 2551), c1 step 11968, setup update, 145.709 s
[g3 22:30:49] [candidate] period 188/256: games 2058 (in flight 2550), c1 step 12032, setup update, 201.686 s
[g3 22:33:32] [candidate] period 189/256: games 2037 (in flight 2548), c1 step 12096, setup update, 163.22 s
[g3 22:36:04] [candidate] period 190/256: games 2003 (in flight 2553), c1 step 12160, setup update, 151.806 s
[g3 22:39:00] [candidate] period 191/256: games 2050 (in flight 2552), c1 step 12224, setup update, 175.681 s
[g3 22:41:37] [candidate] period 192/256: games 2002 (in flight 2552), c1 step 12288, setup update, 141.55 s, bundle 5a3aa33286fa
[g3 22:44:34] [candidate] period 193/256: games 2067 (in flight 2549), c1 step 12352, setup update, 176.415 s
[g3 22:47:15] [candidate] period 194/256: games 1999 (in flight 2547), c1 step 12416, setup update, 161.039 s
[g3 22:49:51] [candidate] period 195/256: games 1953 (in flight 2553), c1 step 12480, setup update, 155.667 s
[g3 22:52:47] [candidate] period 196/256: games 2044 (in flight 2551), c1 step 12544, setup update, 176.012 s
[g3 22:55:13] [candidate] period 197/256: games 2039 (in flight 2550), c1 step 12608, setup update, 144.235 s
[g3 22:58:25] [candidate] period 198/256: games 2029 (in flight 2549), c1 step 12672, setup update, 191.899 s
[g3 23:01:02] [candidate] period 199/256: games 2012 (in flight 2540), c1 step 12736, setup update, 156.824 s
[g3 23:03:51] [candidate] period 200/256: games 2025 (in flight 2545), c1 step 12800, setup update, 168.982 s
[g3 23:06:33] [candidate] period 201/256: games 2010 (in flight 2546), c1 step 12864, setup update, 162.188 s
[g3 23:09:09] [candidate] period 202/256: games 2079 (in flight 2551), c1 step 12928, setup update, 155.536 s
[g3 23:12:10] [candidate] period 203/256: games 2015 (in flight 2552), c1 step 12992, setup update, 180.968 s
[g3 23:14:41] [candidate] period 204/256: games 1988 (in flight 2549), c1 step 13056, setup update, 149.972 s
[g3 23:17:37] [candidate] period 205/256: games 1996 (in flight 2542), c1 step 13120, setup update, 176.356 s
[g3 23:20:07] [candidate] period 206/256: games 1973 (in flight 2553), c1 step 13184, setup update, 148.962 s
[g3 23:23:07] [candidate] period 207/256: games 2068 (in flight 2547), c1 step 13248, setup update, 180.447 s
[g3 23:25:52] [candidate] period 208/256: games 1951 (in flight 2552), c1 step 13312, setup update, 164.093 s
[g3 23:28:40] [candidate] period 209/256: games 2031 (in flight 2553), c1 step 13376, setup update, 168.634 s
[g3 23:31:31] [candidate] period 210/256: games 1999 (in flight 2553), c1 step 13440, setup update, 170.624 s
[g3 23:34:14] [candidate] period 211/256: games 2051 (in flight 2555), c1 step 13504, setup update, 162.472 s
[g3 23:37:10] [candidate] period 212/256: games 1992 (in flight 2551), c1 step 13568, setup update, 176.205 s
[g3 23:39:50] [candidate] period 213/256: games 2040 (in flight 2549), c1 step 13632, setup update, 158.77 s
[g3 23:43:04] [candidate] period 214/256: games 2033 (in flight 2548), c1 step 13696, setup update, 193.878 s
[g3 23:45:35] [candidate] period 215/256: games 2072 (in flight 2552), c1 step 13760, setup update, 150.535 s
[g3 23:48:48] [candidate] period 216/256: games 1980 (in flight 2552), c1 step 13824, setup update, 192.76 s
[g3 23:51:35] [candidate] period 217/256: games 2098 (in flight 2551), c1 step 13888, setup update, 166.74 s
[g3 23:54:26] [candidate] period 218/256: games 2057 (in flight 2548), c1 step 13952, setup update, 170.41 s
[g3 23:57:17] [candidate] period 219/256: games 2032 (in flight 2548), c1 step 14016, setup update, 170.884 s
[g3 23:59:55] [candidate] period 220/256: games 2036 (in flight 2556), c1 step 14080, setup update, 158.119 s
[g3 00:02:55] [candidate] period 221/256: games 2024 (in flight 2551), c1 step 14144, setup update, 179.713 s
[g3 00:05:46] [candidate] period 222/256: games 2012 (in flight 2549), c1 step 14208, setup update, 171.114 s
[g3 00:08:49] [candidate] period 223/256: games 2008 (in flight 2542), c1 step 14272, setup update, 182.298 s
[g3 00:11:49] [candidate] period 224/256: games 1971 (in flight 2549), c1 step 14336, setup update, 163.177 s, bundle 0708a53268cc
[g3 00:14:48] [candidate] period 225/256: games 1990 (in flight 2549), c1 step 14400, setup update, 179.04 s
[g3 00:17:38] [candidate] period 226/256: games 2022 (in flight 2552), c1 step 14464, setup update, 170.115 s
[g3 00:20:52] [candidate] period 227/256: games 2007 (in flight 2544), c1 step 14528, setup update, 193.477 s
[g3 00:23:50] [candidate] period 228/256: games 2022 (in flight 2549), c1 step 14592, setup update, 177.717 s
[g3 00:26:38] [candidate] period 229/256: games 2019 (in flight 2551), c1 step 14656, setup update, 167.172 s
[g3 00:29:37] [candidate] period 230/256: games 1961 (in flight 2547), c1 step 14720, setup update, 179.634 s
[g3 00:32:30] [candidate] period 231/256: games 2057 (in flight 2555), c1 step 14784, setup update, 171.035 s
[g3 00:35:34] [candidate] period 232/256: games 1997 (in flight 2550), c1 step 14848, setup update, 183.998 s
[g3 00:38:21] [candidate] period 233/256: games 2048 (in flight 2549), c1 step 14912, setup update, 166.769 s
[g3 00:41:35] [candidate] period 234/256: games 2052 (in flight 2552), c1 step 14976, setup update, 193.216 s
[g3 00:44:13] [candidate] period 235/256: games 1988 (in flight 2553), c1 step 15040, setup update, 158.252 s
[g3 00:47:33] [candidate] period 236/256: games 2058 (in flight 2549), c1 step 15104, setup update, 199.481 s
[g3 00:50:20] [candidate] period 237/256: games 2064 (in flight 2551), c1 step 15168, setup update, 166.851 s
[g3 00:53:37] [candidate] period 238/256: games 2062 (in flight 2552), c1 step 15232, setup update, 196.978 s
[g3 00:56:27] [candidate] period 239/256: games 2026 (in flight 2553), c1 step 15296, setup update, 170.092 s
[g3 00:59:40] [candidate] period 240/256: games 2063 (in flight 2547), c1 step 15360, setup update, 191.979 s
[g3 01:02:30] [candidate] period 241/256: games 2014 (in flight 2551), c1 step 15424, setup update, 169.804 s
[g3 01:05:56] [candidate] period 242/256: games 1976 (in flight 2548), c1 step 15488, setup update, 206.756 s
[g3 01:08:48] [candidate] period 243/256: games 2058 (in flight 2548), c1 step 15552, setup update, 171.092 s
[g3 01:12:08] [candidate] period 244/256: games 2035 (in flight 2549), c1 step 15616, setup update, 199.496 s
[g3 01:15:10] [candidate] period 245/256: games 2057 (in flight 2551), c1 step 15680, setup update, 181.75 s
[g3 01:18:45] [candidate] period 246/256: games 2032 (in flight 2553), c1 step 15744, setup update, 215.258 s
[g3 01:21:33] [candidate] period 247/256: games 2038 (in flight 2552), c1 step 15808, setup update, 167.41 s
[g3 01:25:22] [candidate] period 248/256: games 2032 (in flight 2550), c1 step 15872, setup update, 228.614 s
[g3 01:28:15] [candidate] period 249/256: games 1997 (in flight 2552), c1 step 15936, setup update, 172.099 s
[g3 01:32:06] [candidate] period 250/256: games 2013 (in flight 2554), c1 step 16000, setup update, 230.389 s
[g3 01:34:55] [candidate] period 251/256: games 2023 (in flight 2553), c1 step 16064, setup update, 168.809 s
[g3 01:38:02] [candidate] period 252/256: games 2012 (in flight 2544), c1 step 16128, setup update, 186.652 s
[g3 01:41:09] [candidate] period 253/256: games 1976 (in flight 2555), c1 step 16192, setup update, 187.024 s
[g3 01:44:23] [candidate] period 254/256: games 2033 (in flight 2552), c1 step 16256, setup update, 193.17 s
[g3 01:47:22] [candidate] period 255/256: games 1980 (in flight 2553), c1 step 16320, setup update, 178.332 s
[g3 01:51:10] [candidate] period 256/256: games 2093 (in flight 2547), c1 step 16384, setup update, 211.689 s, bundle 2162b448017c
[g3 01:55:31] candidate: period 256/256 in 39813 s; nothing continues past the horizon
