[chain 01:55:49] candidate complete; starting control
[g3 01:57:13] control: resumed from the latest complete verified bundle bundle_0001 at period 1
[g3 04:10:19] [control] period 61/256: games 2316 (in flight 2548), c1 step 3904, setup frozen, 133.503 s
[g3 04:12:33] [control] period 62/256: games 2286 (in flight 2547), c1 step 3968, setup frozen, 133.535 s
[g3 04:14:52] [control] period 63/256: games 2301 (in flight 2547), c1 step 4032, setup frozen, 139.069 s
[g3 04:17:19] [control] period 64/256: games 2225 (in flight 2547), c1 step 4096, setup frozen, 134.028 s, bundle ea6d88cfa802
[g3 04:19:33] [control] period 65/256: games 2271 (in flight 2549), c1 step 4160, setup frozen, 133.885 s
[g3 04:21:48] [control] period 66/256: games 2268 (in flight 2551), c1 step 4224, setup frozen, 134.107 s
[g3 04:24:01] [control] period 67/256: games 2161 (in flight 2553), c1 step 4288, setup frozen, 132.981 s
[g3 04:26:15] [control] period 68/256: games 2243 (in flight 2548), c1 step 4352, setup frozen, 133.914 s
[g3 04:28:29] [control] period 69/256: games 2201 (in flight 2552), c1 step 4416, setup frozen, 134.541 s
[g3 04:30:43] [control] period 70/256: games 2214 (in flight 2553), c1 step 4480, setup frozen, 133.388 s
[g3 04:33:02] [control] period 71/256: games 2201 (in flight 2547), c1 step 4544, setup frozen, 139.613 s
[g3 04:35:16] [control] period 72/256: games 2200 (in flight 2548), c1 step 4608, setup frozen, 133.559 s
[g3 04:37:30] [control] period 73/256: games 2278 (in flight 2552), c1 step 4672, setup frozen, 134.097 s
[g3 04:39:45] [control] period 74/256: games 2226 (in flight 2546), c1 step 4736, setup frozen, 134.374 s
[g3 04:41:59] [control] period 75/256: games 2221 (in flight 2542), c1 step 4800, setup frozen, 134.158 s
[g3 04:44:16] [control] period 76/256: games 2212 (in flight 2547), c1 step 4864, setup frozen, 136.834 s
[g3 04:46:34] [control] period 77/256: games 2222 (in flight 2548), c1 step 4928, setup frozen, 138.278 s
[g3 04:48:51] [control] period 78/256: games 2222 (in flight 2548), c1 step 4992, setup frozen, 136.934 s
[g3 04:51:14] [control] period 79/256: games 2229 (in flight 2552), c1 step 5056, setup frozen, 143.004 s
[g3 04:53:32] [control] period 80/256: games 2209 (in flight 2549), c1 step 5120, setup frozen, 137.747 s
[g3 04:55:50] [control] period 81/256: games 2271 (in flight 2549), c1 step 5184, setup frozen, 138.243 s
[g3 04:58:08] [control] period 82/256: games 2300 (in flight 2551), c1 step 5248, setup frozen, 138.035 s
[g3 05:00:26] [control] period 83/256: games 2198 (in flight 2547), c1 step 5312, setup frozen, 137.478 s
[g3 05:02:43] [control] period 84/256: games 2266 (in flight 2550), c1 step 5376, setup frozen, 137.043 s
[g3 05:04:59] [control] period 85/256: games 2163 (in flight 2546), c1 step 5440, setup frozen, 136.313 s
[g3 05:07:24] [control] period 86/256: games 2290 (in flight 2546), c1 step 5504, setup frozen, 144.427 s
[g3 05:09:41] [control] period 87/256: games 2210 (in flight 2547), c1 step 5568, setup frozen, 136.734 s
[g3 05:11:59] [control] period 88/256: games 2233 (in flight 2549), c1 step 5632, setup frozen, 137.807 s
[g3 05:14:17] [control] period 89/256: games 2263 (in flight 2548), c1 step 5696, setup frozen, 138.7 s
[g3 05:16:37] [control] period 90/256: games 2208 (in flight 2548), c1 step 5760, setup frozen, 139.464 s
[g3 05:18:55] [control] period 91/256: games 2280 (in flight 2545), c1 step 5824, setup frozen, 137.68 s
[g3 05:21:12] [control] period 92/256: games 2181 (in flight 2549), c1 step 5888, setup frozen, 137.078 s
[g3 05:23:31] [control] period 93/256: games 2223 (in flight 2552), c1 step 5952, setup frozen, 138.641 s
[g3 05:25:56] [control] period 94/256: games 2148 (in flight 2551), c1 step 6016, setup frozen, 145.015 s
[g3 05:28:16] [control] period 95/256: games 2226 (in flight 2553), c1 step 6080, setup frozen, 140.51 s
[g3 05:30:51] [control] period 96/256: games 2272 (in flight 2553), c1 step 6144, setup frozen, 140.521 s, bundle e1da14d51277
[g3 05:33:09] [control] period 97/256: games 2252 (in flight 2547), c1 step 6208, setup frozen, 137.997 s
[g3 05:35:27] [control] period 98/256: games 2233 (in flight 2543), c1 step 6272, setup frozen, 137.367 s
[g3 05:37:46] [control] period 99/256: games 2253 (in flight 2551), c1 step 6336, setup frozen, 139.61 s
[g3 05:40:06] [control] period 100/256: games 2259 (in flight 2548), c1 step 6400, setup frozen, 139.928 s
[g3 05:42:27] [control] period 101/256: games 2273 (in flight 2551), c1 step 6464, setup frozen, 140.354 s
[g3 05:44:53] [control] period 102/256: games 2220 (in flight 2542), c1 step 6528, setup frozen, 146.191 s
[g3 05:47:13] [control] period 103/256: games 2227 (in flight 2553), c1 step 6592, setup frozen, 140.101 s
[g3 05:49:33] [control] period 104/256: games 2208 (in flight 2554), c1 step 6656, setup frozen, 139.787 s
[g3 05:51:55] [control] period 105/256: games 2315 (in flight 2548), c1 step 6720, setup frozen, 141.277 s
[g3 05:54:16] [control] period 106/256: games 2265 (in flight 2552), c1 step 6784, setup frozen, 141.081 s
[g3 05:56:36] [control] period 107/256: games 2316 (in flight 2554), c1 step 6848, setup frozen, 140.201 s
[g3 05:58:57] [control] period 108/256: games 2154 (in flight 2549), c1 step 6912, setup frozen, 140.352 s
[g3 06:01:17] [control] period 109/256: games 2210 (in flight 2542), c1 step 6976, setup frozen, 140.464 s
[g3 06:03:43] [control] period 110/256: games 2227 (in flight 2552), c1 step 7040, setup frozen, 146.047 s
[g3 06:06:05] [control] period 111/256: games 2334 (in flight 2555), c1 step 7104, setup frozen, 141.031 s
[g3 06:08:24] [control] period 112/256: games 2280 (in flight 2544), c1 step 7168, setup frozen, 139.592 s
[g3 06:10:44] [control] period 113/256: games 2251 (in flight 2548), c1 step 7232, setup frozen, 139.419 s
[g3 06:13:05] [control] period 114/256: games 2258 (in flight 2552), c1 step 7296, setup frozen, 141.142 s
[g3 06:15:28] [control] period 115/256: games 2277 (in flight 2550), c1 step 7360, setup frozen, 143.106 s
[g3 06:17:48] [control] period 116/256: games 2193 (in flight 2552), c1 step 7424, setup frozen, 139.604 s
[g3 06:20:08] [control] period 117/256: games 2291 (in flight 2547), c1 step 7488, setup frozen, 139.705 s
[g3 06:22:35] [control] period 118/256: games 2157 (in flight 2541), c1 step 7552, setup frozen, 146.61 s
[g3 06:24:57] [control] period 119/256: games 2196 (in flight 2549), c1 step 7616, setup frozen, 142.116 s
[g3 06:27:20] [control] period 120/256: games 2219 (in flight 2549), c1 step 7680, setup frozen, 142.832 s
[g3 06:29:41] [control] period 121/256: games 2219 (in flight 2551), c1 step 7744, setup frozen, 141.183 s
[g3 06:32:02] [control] period 122/256: games 2223 (in flight 2555), c1 step 7808, setup frozen, 140.547 s
[g3 06:34:25] [control] period 123/256: games 2260 (in flight 2545), c1 step 7872, setup frozen, 142.324 s
[g3 06:36:48] [control] period 124/256: games 2336 (in flight 2542), c1 step 7936, setup frozen, 142.905 s
[g3 06:39:15] [control] period 125/256: games 2209 (in flight 2550), c1 step 8000, setup frozen, 146.81 s
[g3 06:41:37] [control] period 126/256: games 2248 (in flight 2545), c1 step 8064, setup frozen, 142.41 s
[g3 06:44:00] [control] period 127/256: games 2217 (in flight 2548), c1 step 8128, setup frozen, 142.404 s
[g3 06:46:35] [control] period 128/256: games 2257 (in flight 2553), c1 step 8192, setup frozen, 141.694 s, bundle 53195f9cc515
[g3 06:48:58] [control] period 129/256: games 2355 (in flight 2549), c1 step 8256, setup frozen, 142.282 s
[g3 06:51:20] [control] period 130/256: games 2258 (in flight 2551), c1 step 8320, setup frozen, 142.197 s
[g3 06:53:41] [control] period 131/256: games 2201 (in flight 2547), c1 step 8384, setup frozen, 140.972 s
[g3 06:56:06] [control] period 132/256: games 2189 (in flight 2551), c1 step 8448, setup frozen, 144.489 s
[g3 06:58:34] [control] period 133/256: games 2194 (in flight 2550), c1 step 8512, setup frozen, 147.63 s
[g3 07:00:56] [control] period 134/256: games 2314 (in flight 2553), c1 step 8576, setup frozen, 141.985 s
[g3 07:03:23] [control] period 135/256: games 2258 (in flight 2546), c1 step 8640, setup frozen, 146.737 s
[g3 07:05:47] [control] period 136/256: games 2205 (in flight 2550), c1 step 8704, setup frozen, 144.303 s
[g3 07:08:08] [control] period 137/256: games 2192 (in flight 2551), c1 step 8768, setup frozen, 140.145 s
