iteration,games,learner_decisions,collection_seconds,collection_games_per_second,optimizer_updates,examples,examples_per_second,ppo_loss,value_loss,belief_loss,mean_behavior_kl,max_behavior_kl,epoch1_mean_kl,epoch2_mean_kl,kl_beta_after,mean_clip_fraction,epoch1_clip_fraction,epoch2_clip_fraction,mean_policy_entropy,entropy_coefficient,advantage_threshold,advantage_mean,advantage_min,advantage_max,filter_retention,validation_score,strategic_ewr,tactical_ewr,phase8_anchor_ewr,random_ewr,basic_ewr,archive_identity,archive_sha256,train_seconds,checkpoint_seconds,archive_seconds,iteration_seconds,elapsed_run_seconds,rss_mib
18,2048,280910,258.601,8.1664,1098,561820,1198.407,0.006412,0.62581,1.893028,0.031555,0.052052,0.029107,0.033999,0.2,0.250243,0.237897,0.262573,1.278232,0.00384746,0.071517,-0.002891,-1.652109,1.891058,0.250002,,,,,,,,,468.806,0.166,0.0,734.058,14191.685,1303.7
19,2048,283329,249.827,8.4587,1108,566658,1195.506,0.00635,0.618964,1.903199,0.031433,0.051436,0.029717,0.033129,0.2,0.251294,0.241766,0.260797,1.312897,0.00377966,0.072787,-0.003353,-1.824862,1.80456,0.250003,,,,,,,,,473.99,0.156,0.0,730.416,14923.221,1308.2
20,2048,296305,259.65,8.1374,1158,592610,1187.051,0.008299,0.629201,1.891667,0.031024,0.050495,0.029298,0.032749,0.2,0.250447,0.238752,0.26193,1.340609,0.00371186,0.071307,-0.001913,-1.776192,1.848978,0.250003,0.741992,0.705078,0.779297,0.759766,0.986328,0.837891,canonical|H020,5ec66bc553993da1cf88268136d48610402083e10685bcfb60f15b6dc27e7f8b,499.229,0.157,0.162,765.841,15690.146,1314.4
21,2048,304295,278.867,7.5344,1190,608590,1140.111,0.005552,0.625357,1.876242,0.031561,0.051899,0.030027,0.033108,0.2,0.252824,0.243763,0.262205,1.321923,0.00364407,0.069478,-0.002279,-1.808935,1.870727,0.250001,,,,,,,,,533.799,0.159,0.0,819.786,17031.358,1344.4
22,2048,295964,275.672,7.6345,1158,591928,1183.109,0.008782,0.625373,1.884325,0.03219,0.053818,0.030861,0.033534,0.2,0.251476,0.243043,0.260302,1.273733,0.00357627,0.070443,-0.001726,-1.645634,1.870019,0.25,,,,,,,,,500.316,0.16,0.0,782.866,17814.941,1350.1
23,2048,304687,287.061,7.3578,1192,609374,1146.528,0.006163,0.636464,1.874775,0.031905,0.051653,0.030507,0.033295,0.2,0.245137,0.233892,0.256052,1.291694,0.00350847,0.068526,-0.001352,-1.789926,1.826265,0.250001,,,,,,,,,531.495,0.16,0.0,825.598,18641.581,1350.1
24,2048,317369,295.617,7.1409,1240,634738,1100.928,0.009198,0.639598,1.877312,0.032833,0.053759,0.031785,0.033881,0.2,0.251687,0.244735,0.259179,1.315457,0.00344068,0.06838,-0.001817,-1.61119,1.871954,0.250002,,,,,,,,,576.548,0.161,0.0,879.298,19522.085,1369.9
25,2048,324990,293.845,7.1894,1270,649980,1081.977,0.008473,0.645838,1.867724,0.033163,0.055841,0.031702,0.034623,0.2,0.24986,0.240166,0.259576,1.315743,0.00337288,0.071091,-0.002138,-1.861722,1.898366,0.250002,0.772754,0.738281,0.791016,0.818359,0.988281,0.867188,canonical|H025,03f2f9e293e4fdbf0db65b6aa04a50010777f048d471968ce9ea42bd9be9a0fc,600.734,0.157,0.195,901.961,20425.224,1373.5
26,2048,330556,309.239,6.7839,1292,661112,1087.294,0.00885,0.641369,1.857303,0.033457,0.053368,0.031855,0.035054,0.2,0.253211,0.245538,0.261184,1.312885,0.00330508,0.07589,-0.002236,-1.927653,1.918407,0.25,,,,,,,,,608.034,0.161,0.0,925.082,22001.645,1373.5
27,2048,328811,304.663,6.8881,1286,657622,1071.773,0.008568,0.647872,1.858216,0.034338,0.062495,0.032306,0.036376,0.2,0.259952,0.249492,0.270306,1.320471,0.00323729,0.071411,-0.002604,-1.873857,1.855034,0.250001,,,,,,,,,613.583,0.166,0.0,925.923,22928.628,1373.5
28,2048,319743,296.682,7.094,1250,639486,1084.578,0.008916,0.661248,1.86959,0.034034,0.057362,0.032571,0.035492,0.2,0.248119,0.238804,0.257493,1.285996,0.00316949,0.067848,-0.000918,-1.846715,1.74176,0.250001,,,,,,,,,589.617,0.157,0.0,893.495,23823.267,1373.5
29,2048,318471,337.882,6.2154,1246,636942,1097.086,0.008629,0.669999,1.866611,0.035608,0.060154,0.033334,0.037903,0.2,0.256013,0.244894,0.266322,1.288278,0.00310169,0.066613,-0.001038,-1.592873,1.691164,0.250001,,,,,,,,,580.576,0.166,0.0,925.958,24750.04,1373.5
30,2048,300391,308.719,6.6974,1174,600782,1147.918,0.008363,0.660597,1.880704,0.034158,0.055341,0.032412,0.035902,0.2,0.24914,0.240393,0.25781,1.276493,0.0030339,0.071103,-0.000555,-1.819487,1.765609,0.250001,0.76709,0.759766,0.769531,0.779297,0.996094,0.832031,canonical|H030,ba7801e34d250e6c6973b662ebb910b1e04342ef43909b1d3bf27ed536b6bdd0,523.367,0.193,0.167,839.633,25591.506,1006.6
31,2048,331914,315.446,6.6475,1298,663828,1093.861,0.010068,0.679588,1.866383,0.035023,0.054912,0.033178,0.036871,0.2,0.258866,0.24881,0.26896,1.327169,0.0029661,0.070937,-0.000992,-1.970269,1.900943,0.250002,,,,,,,,,606.867,0.166,0.0,930.082,27163.703,1238.2
32,2048,310536,298.159,7.0381,1214,621072,1121.762,0.009095,0.664772,1.87194,0.033455,0.064796,0.03137,0.035537,0.2,0.255991,0.244661,0.267357,1.317342,0.00289831,0.068519,-0.001032,-1.838831,1.765962,0.25,,,,,,,,,553.658,0.156,0.0,859.123,28023.265,1238.2
33,2048,299658,288.339,7.2796,1172,599316,1167.23,0.008817,0.652618,1.889232,0.033649,0.054406,0.031965,0.035327,0.2,0.247821,0.238564,0.257625,1.278536,0.00283051,0.068979,-0.001744,-1.887399,1.715338,0.250002,,,,,,,,,513.451,0.158,0.0,809.132,28832.954,1238.2
34,2048,291908,290.834,7.2087,1142,583816,1177.386,0.010628,0.648696,1.891901,0.033198,0.053752,0.031327,0.03505,0.2,0.245747,0.234814,0.256163,1.257532,0.00276271,0.07232,-0.001238,-1.92441,1.85007,0.25,,,,,,,,,495.858,0.161,0.0,793.852,29627.528,1238.2
35,2048,311154,300.381,6.9821,1216,622308,1140.941,0.00983,0.651072,1.886591,0.033831,0.056453,0.031919,0.035743,0.2,0.257479,0.247259,0.267994,1.335341,0.00269492,0.069443,-0.001934,-1.93999,1.77345,0.250002,0.828906,0.826172,0.802734,0.880859,0.988281,0.863281,canonical|H035,a6b0ce5d44d267fac0370477337bcafb1179bf1187b702bf988d0a5500e5d7cd,545.434,0.164,0.175,853.313,30481.574,1238.2
36,2048,324516,315.451,6.6451,1268,649032,1111.782,0.0092,0.638717,1.891223,0.033398,0.056138,0.031235,0.035559,0.2,0.26686,0.254656,0.278778,1.441991,0.00262712,0.064833,-0.002512,-1.851067,1.815537,0.25,,,,,,,,,583.776,0.157,0.0,906.914,31919.15,1346.2
37,2048,335558,323.218,6.4855,1312,671116,1084.858,0.010588,0.627321,1.886175,0.032088,0.051161,0.031348,0.032822,0.2,0.265911,0.2581,0.273668,1.492446,0.00255932,0.062884,-0.003681,-1.879902,1.781535,0.250001,,,,,,,,,618.621,0.18,0.0,949.791,32872.353,1346.2
38,2048,336287,330.908,6.3342,1314,672574,1093.663,0.011216,0.644008,1.898819,0.03039,0.05068,0.029327,0.031452,0.2,0.258993,0.248632,0.269483,1.521305,0.00249153,0.062808,-0.003838,-1.820224,1.735652,0.250001,,,,,,,,,614.974,0.178,0.0,953.881,33829.497,1346.2
39,2048,369976,355.521,5.8949,1446,739952,1017.356,0.011014,0.649575,1.886126,0.031459,0.062461,0.03047,0.032447,0.2,0.271832,0.265109,0.278407,1.601043,0.00242373,0.060191,-0.004197,-1.929797,1.905108,0.25,,,,,,,,,727.328,0.162,0.0,1091.618,34921.584,1354.0
40,2048,386200,366.072,5.7278,1510,772400,970.003,0.012744,0.652001,1.882155,0.030947,0.060613,0.029727,0.032163,0.2,0.276329,0.266359,0.286422,1.64405,0.00235593,0.054338,-0.004334,-1.771727,1.93362,0.25,0.836621,0.832031,0.833984,0.851562,0.996094,0.851562,canonical|H040,a834dc5726d520a5ea4173e500147e8629ccfa73c4725c12e2ed434d13c09d11,796.286,0.168,0.167,1171.497,36093.668,1355.6
