iteration,opponent_kind,opponent_identity,games,learner_wins,learner_draws,learner_losses,learner_ewr,red_wins,blue_wins,draws
17,stress_policy,stress_scout_rush@1.0.0,34,30,1,3,0.8970588235294118,30,3,1
18,current_policy,phase9_behavior_v1|ns=canonical|B018,1024,,,,,533,488,3
18,historical_snapshot,phase9_anchor_v1|H000,136,105,0,31,0.7720588235294118,71,65,0
18,historical_snapshot,phase9_archive_v1|ns=canonical|H005,116,83,1,32,0.7198275862068966,59,56,1
18,historical_snapshot,phase9_archive_v1|ns=canonical|H010,127,81,2,44,0.6456692913385826,58,67,2
18,historical_snapshot,phase9_archive_v1|ns=canonical|H015,133,69,2,62,0.5263157894736842,58,73,2
18,rule_policy,basic_heuristic@1.0.0,46,41,0,5,0.8913043478260869,24,22,0
18,rule_policy,strategic_rule_based@1.1.0,154,113,2,39,0.7402597402597403,81,71,2
18,rule_policy,tactical_rule_based@1.0.0,107,82,2,23,0.7757009345794392,53,52,2
18,stress_policy,stress_berserker@1.0.0,34,24,0,10,0.7058823529411765,10,24,0
18,stress_policy,stress_chaos@1.0.0,34,32,0,2,0.9411764705882353,2,32,0
18,stress_policy,stress_draw_seeker@1.0.0,34,33,1,0,0.9852941176470589,33,0,1
18,stress_policy,stress_information_miser@1.0.0,34,34,0,0,1.0,34,0,0
18,stress_policy,stress_miner_rush@1.0.0,34,30,0,4,0.8823529411764706,4,30,0
18,stress_policy,stress_scout_rush@1.0.0,35,30,2,3,0.8857142857142857,30,3,2
19,current_policy,phase9_behavior_v1|ns=canonical|B019,1024,,,,,507,516,1
19,historical_snapshot,phase9_anchor_v1|H000,126,100,2,24,0.8015873015873016,62,62,2
19,historical_snapshot,phase9_archive_v1|ns=canonical|H005,124,89,0,35,0.717741935483871,54,70,0
19,historical_snapshot,phase9_archive_v1|ns=canonical|H010,149,87,0,62,0.5838926174496645,85,64,0
19,historical_snapshot,phase9_archive_v1|ns=canonical|H015,113,65,1,47,0.5796460176991151,52,60,1
19,rule_policy,basic_heuristic@1.0.0,46,33,0,13,0.717391304347826,26,20,0
19,rule_policy,strategic_rule_based@1.1.0,154,104,2,48,0.6818181818181818,78,74,2
19,rule_policy,tactical_rule_based@1.0.0,107,81,0,26,0.7570093457943925,47,60,0
19,stress_policy,stress_berserker@1.0.0,34,30,0,4,0.8823529411764706,4,30,0
19,stress_policy,stress_chaos@1.0.0,34,31,0,3,0.9117647058823529,3,31,0
19,stress_policy,stress_draw_seeker@1.0.0,34,34,0,0,1.0,34,0,0
19,stress_policy,stress_information_miser@1.0.0,34,34,0,0,1.0,34,0,0
19,stress_policy,stress_miner_rush@1.0.0,35,28,0,7,0.8,7,28,0
19,stress_policy,stress_scout_rush@1.0.0,34,30,0,4,0.8823529411764706,30,4,0
20,current_policy,phase9_behavior_v1|ns=canonical|B020,1024,,,,,477,544,3
20,historical_snapshot,phase9_anchor_v1|H000,123,98,0,25,0.7967479674796748,65,58,0
20,historical_snapshot,phase9_archive_v1|ns=canonical|H005,138,102,0,36,0.7391304347826086,67,71,0
20,historical_snapshot,phase9_archive_v1|ns=canonical|H010,129,81,0,48,0.627906976744186,65,64,0
20,historical_snapshot,phase9_archive_v1|ns=canonical|H015,122,67,1,54,0.5532786885245902,55,66,1
20,rule_policy,basic_heuristic@1.0.0,46,35,0,11,0.7608695652173914,28,18,0
20,rule_policy,strategic_rule_based@1.1.0,154,118,2,34,0.7727272727272727,76,76,2
20,rule_policy,tactical_rule_based@1.0.0,107,81,1,25,0.7616822429906542,54,52,1
20,stress_policy,stress_berserker@1.0.0,34,33,0,1,0.9705882352941176,1,33,0
20,stress_policy,stress_chaos@1.0.0,34,32,0,2,0.9411764705882353,2,32,0
20,stress_policy,stress_draw_seeker@1.0.0,35,35,0,0,1.0,35,0,0
20,stress_policy,stress_information_miser@1.0.0,34,33,1,0,0.9852941176470589,33,0,1
20,stress_policy,stress_miner_rush@1.0.0,34,28,1,5,0.8382352941176471,5,28,1
20,stress_policy,stress_scout_rush@1.0.0,34,28,2,4,0.8529411764705882,28,4,2
21,current_policy,phase9_behavior_v1|ns=canonical|B021,1024,,,,,516,497,11
21,historical_snapshot,phase9_anchor_v1|H000,83,60,1,22,0.7289156626506024,37,45,1
