candidate_id,precision,workers,environment_count,inference_batch_size,numerator_positions_per_second,candidate_inference_positions_per_second,R,serial_composition_ceiling,measured_collection_positions_per_second,backend_decision,optimized_backend_required,numerator_measurement,denominator_measurement
C0,float16,10,1536,2048,91778.164444,22345.288982,4.107271,17970.09769,17451.020938,KEEP_PYTHON,False,"stratego.training.end_to_end_benchmark.measure_simulation_pipeline at 10 workers x 1536 environments for 25.0s, model removed and replaced by the deterministic benchmark policy","coordinator._run_chunk: host->device transfer, absolute->normalized dense legality permutation, candidate forward, masked Gumbel sampling, normalized->absolute inverse, action/value readback, batch 1536, float16, 10.0s, worker pool shut down"
C1,float16,10,1536,2048,91778.164444,13263.770027,6.919463,11588.938007,11874.799165,KEEP_PYTHON,False,"stratego.training.end_to_end_benchmark.measure_simulation_pipeline at 10 workers x 1536 environments for 25.0s, model removed and replaced by the deterministic benchmark policy","coordinator._run_chunk: host->device transfer, absolute->normalized dense legality permutation, candidate forward, masked Gumbel sampling, normalized->absolute inverse, action/value readback, batch 1536, float16, 10.1s, worker pool shut down"
C2,float16,10,1536,2048,91778.164444,8036.053624,11.4208,7389.070067,7494.939046,KEEP_PYTHON,False,"stratego.training.end_to_end_benchmark.measure_simulation_pipeline at 10 workers x 1536 environments for 25.0s, model removed and replaced by the deterministic benchmark policy","coordinator._run_chunk: host->device transfer, absolute->normalized dense legality permutation, candidate forward, masked Gumbel sampling, normalized->absolute inverse, action/value readback, batch 1536, float16, 10.1s, worker pool shut down"
C3,float16,10,1536,2048,91778.164444,5682.608918,16.150709,5351.275162,5495.616967,KEEP_PYTHON,False,"stratego.training.end_to_end_benchmark.measure_simulation_pipeline at 10 workers x 1536 environments for 25.0s, model removed and replaced by the deterministic benchmark policy","coordinator._run_chunk: host->device transfer, absolute->normalized dense legality permutation, candidate forward, masked Gumbel sampling, normalized->absolute inverse, action/value readback, batch 1536, float16, 10.3s, worker pool shut down"
