candidate_id,config_digest,parameters,width,blocks,heads,feed_forward_width,precision,legality,action_frame,workers,environment_count,inference_batch_size,mode,group,timing_mode,snapshot_interval,status,duration_seconds,global_steps,positions,transitions,games,positions_per_second,games_per_second,mean_game_length,terminal_reason_counts,mps_inference_fraction,host_to_device_fraction,normalized_legality_sampling_fraction,frame_conversion_fraction,compact_legality_fraction,writeback_fraction,worker_active_fraction,worker_wait_fraction,trajectory_write_fraction,coordinator_active_fraction,coordinator_wait_fraction,barrier_fraction,straggler_fraction,mean_step_ms,p50_step_ms,p95_step_ms,max_step_ms,process_rss_bytes,worker_max_rss_bytes,shared_memory_bytes,metal_memory_bytes,metal_allocated_bytes,swap_bytes,worker_errors,model_errors,nonfinite_outputs,illegal_actions,action_frame_errors,other_errors,trajectory_bytes,trajectory_records,trajectory_decisions,bytes_per_decision,bytes_per_game,gib_per_hour,snapshot_count,snapshot_bytes,verified_decisions,reconstruction_mismatches,game_metrics_are_steady_state,collection_policy_version,error
C0,057d6c9242e328900f923d4e4c265eaba1bf95e57e1be120a024d2c42c143ddd,123223,64,2,4,256,float16,dense,perspective_normalized_squares,14,1536,2048,collection_only,worker_sensitivity,detailed,0,ok,20.050556,240,368640,368640,570,18385.52507,28.428139,100.996491,"{""battleless_move_limit_draw"": 11, ""flag_capture"": 559}",0.671297,0.042879,0.114424,0.106125,6e-06,0.000743,0.11297,0.88703,0.0,0.82944,0.170056,0.167928,0.071511,83.5353,83.462146,86.145875,99.5305,3541811200,3390193664,94288896,1725579264,572416,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c0_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,10,1536,512,collection_only,batch_sweep,detailed,0,ok,20.101353,152,233472,233472,368,11614.740825,18.307226,69.252717,"{""flag_capture"": 368}",0.78083,0.031364,0.091435,0.076376,4e-06,0.000488,0.088355,0.911645,0.0,0.904179,0.095317,0.094141,0.008721,132.23725,132.1365,138.614042,151.966792,3541843968,2453372928,94288896,1232748544,2429440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c1_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,10,1536,1024,collection_only,batch_sweep,detailed,0,ok,20.111539,155,238080,238080,378,11837.980103,18.79518,71.656085,"{""flag_capture"": 378}",0.785199,0.030176,0.087853,0.077513,4e-06,0.00309,0.086778,0.913222,0.0,0.90638,0.093188,0.092029,0.008133,129.743395,129.429625,132.218125,176.277375,3556622336,2459566080,94288896,1232748544,2429440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c1_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,10,1536,1536,collection_only,batch_sweep,detailed,0,ok,20.075573,150,230400,230400,368,11476.634032,18.330735,69.252717,"{""flag_capture"": 368}",0.75276,0.026816,0.127225,0.12162,4e-06,0.001435,0.084816,0.915184,0.0,0.908298,0.091353,0.090196,0.008126,133.828503,131.52825,148.82425,179.238667,3728752640,2448588800,94288896,2306490368,2429440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c1_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,10,1536,2048,collection_only,batch_sweep,detailed,0,ok,20.08333,159,244224,244224,395,12160.533139,19.668053,74.987342,"{""flag_capture"": 395}",0.797496,0.028428,0.076795,0.071151,4e-06,0.000767,0.089343,0.910657,0.0,0.903551,0.096103,0.094907,0.008666,126.301679,126.594209,128.584542,142.794209,3733340160,2459090944,94288896,2306490368,2429440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c1_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,10,512,512,collection_only,environment_sweep,detailed,0,ok,20.027386,445,227840,227840,360,11376.422312,17.975386,167.838889,"{""battleless_move_limit_draw"": 31, ""flag_capture"": 329}",0.764716,0.032952,0.097978,0.082911,9e-06,0.002309,0.086584,0.913416,0.0,0.898135,0.101169,0.09807,0.017887,44.99754,44.439334,47.853625,79.510292,3733340160,2298953728,31429632,2306490368,2429440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c1_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,10,1024,1024,collection_only,environment_sweep,detailed,0,ok,20.015248,233,238592,238592,369,11920.511528,18.435944,97.98103,"{""battleless_move_limit_draw"": 6, ""flag_capture"": 363}",0.785186,0.029254,0.087299,0.079013,7e-06,0.001452,0.087683,0.912317,0.0,0.90329,0.096239,0.094511,0.010333,85.893738,85.375166,91.549833,111.072792,3742990336,2393325568,62859264,2306621440,2429440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c1_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,10,2048,1024,collection_only,environment_sweep,detailed,0,ok,20.056425,118,241664,241664,404,12049.205927,20.143171,54.762376,"{""flag_capture"": 404}",0.794085,0.028861,0.081574,0.073463,3e-06,0.000861,0.089019,0.910981,0.0,0.905432,0.09422,0.093301,0.006493,169.961133,170.110708,175.50475,196.952959,3813457920,2515206144,125718528,2306621440,2429440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c1_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,10,1536,1024,production_recording,recording_sweep,detailed,32,ok,20.136996,119,182784,182784,314,9077.024143,15.59319,59.796178,"{""flag_capture"": 314}",0.602057,0.022739,0.108002,0.049895,0.183358,0.00138,0.075416,0.924584,0.010196,0.91758,0.081974,0.081009,0.008761,169.208509,166.497041,182.356292,186.807875,3861889024,2776645632,94288896,2306621440,2429440,0,0,0,0,0,0,0,2597519,342,192000,13.528745,7595.084795,0.432481,770,347456,0,0,False,phase6_candidate_c1_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,10,1536,2048,production_recording,recording_sweep,detailed,32,ok,20.038638,119,182784,182784,314,9121.577985,15.669728,59.796178,"{""flag_capture"": 314}",0.59784,0.021141,0.110047,0.055741,0.184062,0.00067,0.077066,0.922934,0.010245,0.913806,0.085837,0.084859,0.011628,168.382268,166.567708,179.683083,186.462458,3949166592,2775875584,94288896,2306621440,2429440,0,0,0,0,0,0,0,2597519,342,192000,13.528745,7595.084795,0.434603,770,347456,0,0,False,phase6_candidate_c1_float16_v1,
