stratum,events,cases_with_events,ce_learned,ce_baseline,ce_delta,ce_delta_lower,ce_delta_upper,r_ce,r_ce_lower,r_ce_upper,top1_learned,top1_baseline,top1_delta,top1_delta_lower,brier_delta,brier_delta_upper,ece_learned,ece_baseline,entropy_learned
basic_rule,151052,64,2.1071365081956714,2.1406926753470574,-0.03355616715138557,-0.05249173255478727,-0.014759832807872157,0.9843246218675711,0.975292108615238,0.9929448077184004,0.2570571723644838,0.2233998887800228,0.0304060703992483,0.020498558188716716,-0.01972813477593274,-0.01405027247561059,0.0368794845446773,0.006659058346916442,1.990527237637997
information_miser,487053,64,2.1300643028562654,2.190284635406213,-0.06022033254994756,-0.08248859039552384,-0.0380548401769086,0.9725057047031793,0.9625388732360349,0.9825403383000143,0.24790320560596074,0.2114020445413538,0.03422039858520413,0.02423209391207245,-0.01690054166131265,-0.01127521150818854,0.04193067407020476,0.01821765098200038,2.0036094426669133
miner_rush,590591,64,2.129621190811135,2.1725590087658255,-0.04293781795469033,-0.06764360810069739,-0.019030917016157757,0.9802362937984905,0.9687173418847774,0.9915060590134174,0.2656169836655147,0.22059259284343988,0.03231203147145495,0.020247861193005933,-0.022603411043030618,-0.015381166680494407,0.0469557223342412,0.010489022560878499,1.9509628645820793
phase8_anchor,190586,64,2.0797948452359414,2.1310759275905027,-0.051281082354561205,-0.07129180028371211,-0.03186915982191599,0.9759365296699953,0.9662179189204481,0.9854008245501393,0.2657855246450421,0.22963911305132592,0.03112094735813683,0.019660541092036632,-0.02197292006561676,-0.014908671188028494,0.04132194498910031,0.012747544687682317,1.9447945509673197
phase9_selfplay,441148,64,2.0234114687109352,2.145066888795593,-0.12165542008465811,-0.14565344583504977,-0.09843732872220713,0.9432859549881148,0.9319928328221101,0.9544393081293617,0.28442835510984976,0.20699855830696273,0.06846591311509595,0.0546468647754774,-0.04544876622565604,-0.037196176701431244,0.03711245118213968,0.016700309679367267,1.9009419083947108
scout_rush,576331,64,2.200809380812153,2.217440349342829,-0.01663096853067623,-0.03845208224968309,0.005761454577659451,0.9924999251792251,0.9826823796774795,1.0025528000750543,0.21953877199040134,0.19771971315094972,0.01323973412869239,4.756507341605596e-05,-0.010878966162943149,-0.004221811069596596,0.04764075115822644,0.008170856176957982,2.0471468100545134
strategic_rule,208004,64,2.1000313245754465,2.1431722601679395,-0.04314093559249301,-0.05925238221167295,-0.028294293349684262,0.9798705235252007,0.9723693327882341,0.9868619156078776,0.25459606546027963,0.22589950193265515,0.026753042256224956,0.01751384650256846,-0.02204178907375276,-0.016608274410685877,0.04064074177541485,0.014805623562699263,1.9813577476840565
tactical_rule,206201,64,2.0694963064761924,2.132711192891769,-0.06321488641557665,-0.08552133884859504,-0.04174426683013271,0.9703593779475305,0.9596090842654519,0.9803822143484802,0.27326249630215177,0.23114824855359575,0.03797760443733704,0.028789711964401724,-0.030381979490122425,-0.021763230384409405,0.041081417271803686,0.013924519989771069,1.9303274911052388
