scope_type,scope,model,bin,bin_lower,bin_upper,events,mean_confidence,accuracy,abs_gap,scope_ece
opponent_stratum,basic_rule,baseline,13,0.866667,0.933333,0,,,,0.009092
opponent_stratum,basic_rule,baseline,14,0.933333,1.000000,644,1.000000,1.000000,0.000000,0.009092
opponent_stratum,information_miser,learned,0,0.000000,0.066667,0,,,,0.044120
opponent_stratum,information_miser,learned,1,0.066667,0.133333,3132,0.129423,0.123563,0.005860,0.044120
opponent_stratum,information_miser,learned,2,0.133333,0.200000,440715,0.177482,0.167487,0.009995,0.044120
opponent_stratum,information_miser,learned,3,0.200000,0.266667,763694,0.231304,0.209581,0.021723,0.044120
opponent_stratum,information_miser,learned,4,0.266667,0.333333,437592,0.295077,0.236103,0.058973,0.044120
opponent_stratum,information_miser,learned,5,0.333333,0.400000,192897,0.362937,0.289496,0.073440,0.044120
opponent_stratum,information_miser,learned,6,0.400000,0.466667,107208,0.430844,0.373172,0.057673,0.044120
opponent_stratum,information_miser,learned,7,0.466667,0.533333,74519,0.498366,0.431004,0.067362,0.044120
opponent_stratum,information_miser,learned,8,0.533333,0.600000,55168,0.564829,0.481493,0.083336,0.044120
opponent_stratum,information_miser,learned,9,0.600000,0.666667,36208,0.630520,0.525630,0.104890,0.044120
opponent_stratum,information_miser,learned,10,0.666667,0.733333,20501,0.696634,0.533535,0.163099,0.044120
opponent_stratum,information_miser,learned,11,0.733333,0.800000,11683,0.764596,0.486690,0.277906,0.044120
opponent_stratum,information_miser,learned,12,0.800000,0.866667,9052,0.832563,0.467190,0.365373,0.044120
opponent_stratum,information_miser,learned,13,0.866667,0.933333,8249,0.898811,0.490362,0.408448,0.044120
opponent_stratum,information_miser,learned,14,0.933333,1.000000,5044,0.957181,0.620341,0.336840,0.044120
opponent_stratum,information_miser,baseline,0,0.000000,0.066667,0,,,,0.024820
opponent_stratum,information_miser,baseline,1,0.066667,0.133333,434,0.128323,0.036866,0.091457,0.024820
opponent_stratum,information_miser,baseline,2,0.133333,0.200000,396512,0.180387,0.124511,0.055876,0.024820
opponent_stratum,information_miser,baseline,3,0.200000,0.266667,1519809,0.221161,0.211609,0.009553,0.024820
opponent_stratum,information_miser,baseline,4,0.266667,0.333333,201446,0.283786,0.355291,0.071505,0.024820
opponent_stratum,information_miser,baseline,5,0.333333,0.400000,35354,0.350959,0.405216,0.054257,0.024820
opponent_stratum,information_miser,baseline,6,0.400000,0.466667,7279,0.416846,0.448688,0.031842,0.024820
opponent_stratum,information_miser,baseline,7,0.466667,0.533333,3922,0.496736,0.588220,0.091484,0.024820
opponent_stratum,information_miser,baseline,8,0.533333,0.600000,115,0.563185,0.660870,0.097685,0.024820
opponent_stratum,information_miser,baseline,9,0.600000,0.666667,30,0.600000,0.700000,0.100000,0.024820
opponent_stratum,information_miser,baseline,10,0.666667,0.733333,324,0.666667,0.373457,0.293210,0.024820
opponent_stratum,information_miser,baseline,11,0.733333,0.800000,33,0.750000,1.000000,0.250000,0.024820
opponent_stratum,information_miser,baseline,12,0.800000,0.866667,14,0.800000,0.285714,0.514286,0.024820
opponent_stratum,information_miser,baseline,13,0.866667,0.933333,0,,,,0.024820
opponent_stratum,information_miser,baseline,14,0.933333,1.000000,390,1.000000,1.000000,0.000000,0.024820
opponent_stratum,miner_rush,learned,0,0.000000,0.066667,0,,,,0.036782
opponent_stratum,miner_rush,learned,1,0.066667,0.133333,4157,0.128567,0.143373,0.014805,0.036782
opponent_stratum,miner_rush,learned,2,0.133333,0.200000,400691,0.176670,0.171571,0.005098,0.036782
opponent_stratum,miner_rush,learned,3,0.200000,0.266667,701750,0.231900,0.213908,0.017992,0.036782
opponent_stratum,miner_rush,learned,4,0.266667,0.333333,444126,0.296188,0.249855,0.046334,0.036782
opponent_stratum,miner_rush,learned,5,0.333333,0.400000,204121,0.362262,0.275978,0.086284,0.036782
opponent_stratum,miner_rush,learned,6,0.400000,0.466667,94303,0.429140,0.313299,0.115841,0.036782
opponent_stratum,miner_rush,learned,7,0.466667,0.533333,46636,0.497298,0.404087,0.093211,0.036782
opponent_stratum,miner_rush,learned,8,0.533333,0.600000,29298,0.564260,0.485153,0.079107,0.036782
opponent_stratum,miner_rush,learned,9,0.600000,0.666667,20990,0.631949,0.585898,0.046051,0.036782
opponent_stratum,miner_rush,learned,10,0.666667,0.733333,17608,0.699055,0.669468,0.029586,0.036782
opponent_stratum,miner_rush,learned,11,0.733333,0.800000,16080,0.766373,0.728420,0.037952,0.036782
opponent_stratum,miner_rush,learned,12,0.800000,0.866667,15908,0.833822,0.793060,0.040762,0.036782
opponent_stratum,miner_rush,learned,13,0.866667,0.933333,16825,0.900188,0.847489,0.052700,0.036782
opponent_stratum,miner_rush,learned,14,0.933333,1.000000,14206,0.960542,0.932141,0.028400,0.036782
opponent_stratum,miner_rush,baseline,0,0.000000,0.066667,0,,,,0.007250
opponent_stratum,miner_rush,baseline,1,0.066667,0.133333,4538,0.126787,0.151168,0.024381,0.007250
opponent_stratum,miner_rush,baseline,2,0.133333,0.200000,829493,0.174512,0.179024,0.004511,0.007250
opponent_stratum,miner_rush,baseline,3,0.200000,0.266667,1000472,0.221794,0.223496,0.001701,0.007250
opponent_stratum,miner_rush,baseline,4,0.266667,0.333333,140671,0.286104,0.233900,0.052203,0.007250
opponent_stratum,miner_rush,baseline,5,0.333333,0.400000,37985,0.347638,0.308832,0.038806,0.007250
opponent_stratum,miner_rush,baseline,6,0.400000,0.466667,8194,0.415028,0.406395,0.008633,0.007250
opponent_stratum,miner_rush,baseline,7,0.466667,0.533333,3157,0.499493,0.452645,0.046848,0.007250
opponent_stratum,miner_rush,baseline,8,0.533333,0.600000,445,0.562129,0.503371,0.058758,0.007250
opponent_stratum,miner_rush,baseline,9,0.600000,0.666667,428,0.606250,0.672897,0.066647,0.007250
opponent_stratum,miner_rush,baseline,10,0.666667,0.733333,540,0.669312,0.751852,0.082540,0.007250
opponent_stratum,miner_rush,baseline,11,0.733333,0.800000,141,0.750000,0.723404,0.026596,0.007250
opponent_stratum,miner_rush,baseline,12,0.800000,0.866667,200,0.830000,0.830000,0.000000,0.007250
opponent_stratum,miner_rush,baseline,13,0.866667,0.933333,0,,,,0.007250
opponent_stratum,miner_rush,baseline,14,0.933333,1.000000,435,1.000000,1.000000,0.000000,0.007250
opponent_stratum,phase8_anchor,learned,0,0.000000,0.066667,0,,,,0.040005
opponent_stratum,phase8_anchor,learned,1,0.066667,0.133333,542,0.129167,0.125461,0.003705,0.040005
opponent_stratum,phase8_anchor,learned,2,0.133333,0.200000,163253,0.179573,0.162656,0.016918,0.040005
opponent_stratum,phase8_anchor,learned,3,0.200000,0.266667,294166,0.231660,0.196525,0.035135,0.040005
opponent_stratum,phase8_anchor,learned,4,0.266667,0.333333,162669,0.294229,0.227782,0.066447,0.040005
opponent_stratum,phase8_anchor,learned,5,0.333333,0.400000,49023,0.361339,0.308549,0.052790,0.040005
opponent_stratum,phase8_anchor,learned,6,0.400000,0.466667,23705,0.430675,0.387260,0.043415,0.040005
opponent_stratum,phase8_anchor,learned,7,0.466667,0.533333,17180,0.498552,0.469208,0.029343,0.040005
