candidate_id,learning_rate,loss_profile,lambda_policy,lambda_value,lambda_belief,validation_scope,global_step,update_budget,examples_consumed,policy_model_ce,policy_baseline_ce,policy_ce_ratio,policy_model_top1,policy_baseline_expected_top1,policy_examples,value_model_ce,value_baseline_ce,value_ce_ratio,value_model_brier,value_baseline_brier,value_model_accuracy,value_baseline_accuracy,value_examples,belief_model_ce,belief_baseline_ce,belief_ce_ratio,belief_model_top1,belief_baseline_top1,belief_pieces,selection_score,validation_games,validation_batches,validation_seconds,train_loss_total,train_loss_policy,train_loss_value,train_loss_belief,train_legal_policy_entropy,train_legal_policy_entropy_normalized,train_grad_norm_pre_clip,train_grad_norm_post_clip,learning_rate_at_step,train_examples_per_second,train_updates_per_second,examples_per_second,mps_current_allocated_bytes,mps_driver_allocated_bytes,peak_rss_bytes,non_finite_losses,non_finite_gradients,non_finite_parameters,illegal_targets,data_mismatches,checkpoint_errors,init_checksum,batch_sequence_digest
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,500,5000,128000,2.1816011798552357,3.177210447893338,0.6866404399814796,0.3409869339084105,0.0456353756232397,4709,0.6642338211341343,1.0993654668597883,0.6041974585862172,0.39486645676591137,0.6671754265886064,0.69720458984375,0.32855224609375,16384,2.1404426454809773,2.207962914022692,0.9694196545997689,0.2488134318383141,0.20342139424874092,441399,0.7534191843891552,323,64,5.56891620800161,5.396604292869568,2.402036400556564,0.7992862715721131,2.195281608581543,2.329347348690033,0.7896592185497284,8.286981673836708,0.9999681063890458,0.001,1672.77757397382,6.534287398335234,1836.490558082319,15353856,2182938624,1705263104,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,1000,5000,256000,1.993319412717955,3.177210447893338,0.6273803531143596,0.3699099327667132,0.0456353756232397,4709,0.612826279386224,1.0993654668597883,0.5574363556613181,0.36327304192871757,0.6671754265886064,0.714599609375,0.32855224609375,16384,2.114861975648797,2.207962914022692,0.9578340117116034,0.2572728982168061,0.20342139424874092,441399,0.7142169068290937,323,64,5.48464370900183,4.88218114566803,2.1051672580242156,0.6475849052667618,2.1294289803504944,2.0899249074459076,0.7092156203985214,4.551288892269135,0.999999752163887,0.001,1854.694277493276,7.24489952145811,1836.490558082319,15353856,2182938624,1743241216,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,1500,5000,384000,1.8994126924937016,3.177210447893338,0.5978240106043698,0.3875428136496258,0.0456353756232397,4709,0.5744837425567264,1.0993654668597883,0.5225593852767392,0.3402088143939919,0.6671754265886064,0.738525390625,0.32855224609375,16384,2.098007622921644,2.207962914022692,0.9502005715753984,0.26048088011073883,0.20342139424874092,441399,0.6901946558188358,323,64,5.5217466249960125,4.68502628326416,1.9542719402313233,0.6175951550602913,2.1131591787338255,1.9892002849578858,0.6748424332141876,3.7423989853858948,0.9999997124671937,0.001,1855.79452808328,7.249197375325313,1836.490558082319,15353856,2182938624,1744142336,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,2000,5000,512000,1.8414373318886101,3.177210447893338,0.579576758319419,0.40619053659774196,0.0456353756232397,4709,0.5660320221492915,1.0993654668597883,0.5148715683839854,0.3360382432274458,0.6671754265886064,0.74420166015625,0.32855224609375,16384,2.0913458869852604,2.207962914022692,0.9471834303480366,0.26338075074932205,0.20342139424874092,441399,0.680543919017147,323,64,5.5671586249955,4.560849380493164,1.8595605463981628,0.5980761802792549,2.1032126641273496,1.9448924958705902,0.6603354530334473,3.5791306767463684,0.9999997082948685,0.001,1841.3706237139943,7.19285399888279,1836.490558082319,15353856,2182938624,1749172224,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,2500,5000,640000,1.72024041011681,3.177210447893338,0.541431056686038,0.4316884434859825,0.0456353756232397,4709,0.5712267652797839,1.0993654668597883,0.5195967878738522,0.3426383453547169,0.6671754265886064,0.73760986328125,0.32855224609375,16384,2.0791525964710806,2.207962914022692,0.9416610139900713,0.2657686129782804,0.20342139424874092,441399,0.6675629528499871,323,64,5.592584250000073,4.457842009544373,1.7686669719219208,0.5936613119840622,2.095513730049133,1.8605730476379394,0.6325995832681656,3.498858188152313,0.9999997023344039,0.001,1863.6723878617995,7.279970265085154,1836.490558082319,15353856,2182938624,1749188608,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,3000,5000,768000,1.6744955542410844,3.177210447893338,0.5270332518739403,0.4491944691107446,0.0456353756232397,4709,0.5640841133828995,1.0993654668597883,0.513099720145059,0.3355833734768868,0.6671754265886064,0.7412109375,0.32855224609375,16384,2.0749170058133912,2.207962914022692,0.9397426888991971,0.26562361944635127,0.20342139424874092,441399,0.6599585536393988,323,64,5.572291541000595,4.38942259311676,1.7147750594615936,0.5888943880200386,2.085753149986267,1.8054139370918274,0.6137011394500732,3.4013044533729553,0.9999996914863586,0.001,1845.2174625903112,7.207880713243403,1836.490558082319,15353856,2182938624,1749188608,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,3500,5000,896000,1.6706701798511194,3.177210447893338,0.5258292477789326,0.4409488773309654,0.0456353756232397,4709,0.5638766386723052,1.0993654668597883,0.5129109979076879,0.3333751349141183,0.6671754265886064,0.74847412109375,0.32855224609375,16384,2.063216455877172,2.207962914022692,0.9344434377831982,0.2691533057392518,0.20342139424874092,441399,0.6577278944899395,323,64,5.567966749993502,4.320250291347504,1.6621418490409852,0.5809970606565475,2.0771113715171814,1.7432095527648925,0.5925964103937149,3.3917544746398924,0.9999996817111969,0.001,1833.533815812255,7.162241468016621,1836.490558082319,15353856,2182938624,1749188608,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,4000,5000,1024000,1.6107352812254958,3.177210447893338,0.5069652475471054,0.4518584295319041,0.0456353756232397,4709,0.5473789015429701,1.0993654668597883,0.4979043985313595,0.32888763227482193,0.6671754265886064,0.75079345703125,0.32855224609375,16384,2.0623121221008676,2.207962914022692,0.9340338594471848,0.26927564403181703,0.20342139424874092,441399,0.6463011685085499,323,64,5.546969709001132,4.286501121044159,1.63987713265419,0.5763729127049446,2.07025107383728,1.7350002176761627,0.5899185433387756,3.260932084560394,0.9999996817111969,0.001,1859.188589394709,7.262455427323082,1836.490558082319,15353856,2182938624,1749188608,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,4500,5000,1152000,1.6346450064700535,3.177210447893338,0.5144906304692254,0.4372700748446023,0.0456353756232397,4709,0.5559242615043779,1.0993654668597883,0.5056773914249935,0.3312872735792064,0.6671754265886064,0.74920654296875,0.32855224609375,16384,2.0593690269526603,2.207962914022692,0.9327009135315103,0.271332739766062,0.20342139424874092,441399,0.6509563118085764,323,64,5.574261707995902,4.232495454311371,1.5994257860183716,0.5672524358034134,2.0658172507286072,1.6952092165946961,0.5761690653562546,3.2281125836372375,0.9999996789693832,0.001,1871.6575958392825,7.311162483747197,1836.490558082319,15353856,2182938624,1760133120,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
ws_pilot_lr1e-3_balanced,0.001,balanced,1.0,1.0,1.0,cadence_spread,5000,5000,1279941,1.5653681134882,3.177210447893338,0.4926863168683471,0.4604845870861347,0.0456353756232397,4709,0.5468043122254679,1.0993654668597883,0.4973817431134633,0.3276078155691487,0.6671754265886064,0.75079345703125,0.32855224609375,16384,2.0521320302325794,2.207962914022692,0.9294232331528595,0.27107900108518596,0.20342139424874092,441399,0.6398304310448899,323,64,5.615205832997162,4.187013088226318,1.5585800824165343,0.5652439259290695,2.063189088821411,1.6827579026222228,0.5727324794530868,3.183224067211151,0.9999996774196624,0.001,1886.0987020223624,7.367573054774853,1836.490558082319,15353856,2191441920,1760133120,0,0,0,0,0,0,cfe60bb0cb342b03e2506259b5c4d39d321148f7bc8c030bf722e5a234e042b8,47ff1df11bf3614e587147661c51dc4f18aecb062f3b9385fed037f7020111fe
