[coadapt 01:02:24] verifying the accepted corpus identity and every payload
[coadapt 01:03:37] fresh lineage: setup init digest c0f532e75d80 (ckpt_1024 EMA c0f532e75d80), C1 init cfe60bb0cb34
[coadapt 01:05:45] [control] period 1/256: games 1141 (in flight 2551), c1 step 64, setup frozen, 120.54 s, bundle 2feec01b324e
[coadapt 01:05:46] period 1/256 in 129 s
[coadapt 01:05:52] verifying the accepted corpus identity and every payload
[coadapt 01:07:13] resumed from bundle_0001 at period 1
[coadapt 03:05:29] [control] period 55/256: games 1861 (in flight 2554), c1 step 3520, setup frozen, 137.537 s
[coadapt 03:07:41] [control] period 56/256: games 1914 (in flight 2553), c1 step 3584, setup frozen, 131.967 s
[coadapt 03:09:54] [control] period 57/256: games 1873 (in flight 2547), c1 step 3648, setup frozen, 132.786 s
[coadapt 03:12:07] [control] period 58/256: games 1958 (in flight 2547), c1 step 3712, setup frozen, 132.919 s
[coadapt 03:14:20] [control] period 59/256: games 1904 (in flight 2550), c1 step 3776, setup frozen, 133.305 s
[coadapt 03:16:32] [control] period 60/256: games 1873 (in flight 2557), c1 step 3840, setup frozen, 131.885 s
[coadapt 03:18:45] [control] period 61/256: games 1858 (in flight 2556), c1 step 3904, setup frozen, 132.768 s
[coadapt 03:20:58] [control] period 62/256: games 1898 (in flight 2551), c1 step 3968, setup frozen, 132.827 s
[coadapt 03:23:16] [control] period 63/256: games 1836 (in flight 2553), c1 step 4032, setup frozen, 137.519 s
[coadapt 03:25:43] [control] period 64/256: games 1897 (in flight 2553), c1 step 4096, setup frozen, 132.746 s, bundle 772cd1fd353a
[coadapt 03:27:56] [control] period 65/256: games 1859 (in flight 2548), c1 step 4160, setup frozen, 132.826 s
[coadapt 03:30:09] [control] period 66/256: games 1818 (in flight 2552), c1 step 4224, setup frozen, 132.657 s
[coadapt 03:32:23] [control] period 67/256: games 1960 (in flight 2551), c1 step 4288, setup frozen, 134.546 s
[coadapt 03:34:37] [control] period 68/256: games 1898 (in flight 2548), c1 step 4352, setup frozen, 133.761 s
[coadapt 03:36:51] [control] period 69/256: games 1836 (in flight 2548), c1 step 4416, setup frozen, 133.754 s
[coadapt 03:39:06] [control] period 70/256: games 1902 (in flight 2548), c1 step 4480, setup frozen, 134.771 s
[coadapt 03:41:25] [control] period 71/256: games 1911 (in flight 2553), c1 step 4544, setup frozen, 139.032 s
[coadapt 03:43:39] [control] period 72/256: games 1840 (in flight 2553), c1 step 4608, setup frozen, 133.562 s
[coadapt 03:45:54] [control] period 73/256: games 1864 (in flight 2549), c1 step 4672, setup frozen, 135.072 s
[coadapt 03:48:10] [control] period 74/256: games 1867 (in flight 2552), c1 step 4736, setup frozen, 136.251 s
[coadapt 03:50:26] [control] period 75/256: games 1879 (in flight 2551), c1 step 4800, setup frozen, 135.316 s
[coadapt 03:52:42] [control] period 76/256: games 1885 (in flight 2556), c1 step 4864, setup frozen, 136.116 s
[coadapt 03:54:57] [control] period 77/256: games 1901 (in flight 2548), c1 step 4928, setup frozen, 135.149 s
[coadapt 03:57:12] [control] period 78/256: games 1870 (in flight 2550), c1 step 4992, setup frozen, 134.903 s
[coadapt 03:59:32] [control] period 79/256: games 1846 (in flight 2545), c1 step 5056, setup frozen, 139.877 s
[coadapt 04:01:48] [control] period 80/256: games 1864 (in flight 2549), c1 step 5120, setup frozen, 135.599 s
[coadapt 04:04:04] [control] period 81/256: games 1889 (in flight 2546), c1 step 5184, setup frozen, 135.848 s
[coadapt 04:06:20] [control] period 82/256: games 1848 (in flight 2552), c1 step 5248, setup frozen, 136.242 s
[coadapt 04:08:36] [control] period 83/256: games 1875 (in flight 2556), c1 step 5312, setup frozen, 135.865 s
[coadapt 04:10:54] [control] period 84/256: games 1949 (in flight 2546), c1 step 5376, setup frozen, 137.39 s
[coadapt 04:13:10] [control] period 85/256: games 1862 (in flight 2553), c1 step 5440, setup frozen, 136.093 s
[coadapt 04:15:31] [control] period 86/256: games 1869 (in flight 2547), c1 step 5504, setup frozen, 141.263 s
