position_id,preset_id,arm,replay,ply,unresolved,action_id,oracle_q_regret,legal,seconds,candidates,tau,tau_r,argmax_action_id,direct_action_id,changed_from_argmax,move_changed_vs_direct,matches_control,matches_oracle,search_seconds,c1_forwards,unique_worlds
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,4,12,37,2829,0.045536,1,,8,0.3,1.0,2829,2829,0,0,1,1,0.46909,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,5,12,37,3545,0.195404,1,,8,0.3,1.0,2829,2829,1,1,0,0,0.46162,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,6,12,37,4454,0.217478,1,,8,0.3,1.0,2829,2829,1,1,0,0,0.45115,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,7,12,37,3141,0.239894,1,,8,0.3,1.0,2829,2829,1,1,0,0,0.46808,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,8,12,37,3545,0.195404,1,,8,0.3,1.0,2829,2829,1,1,0,0,0.47331,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,9,12,37,1929,0.116784,1,,8,0.3,1.0,2829,2829,1,1,0,0,0.44326,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,10,12,37,2829,0.045536,1,,8,0.3,1.0,2829,2829,0,0,1,1,0.43918,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,11,12,37,3534,0.203112,1,,8,0.3,1.0,2829,2829,1,1,0,0,0.42021,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,12,12,37,3534,0.203112,1,,8,0.3,1.0,2829,2829,1,1,0,0,0.45569,321,8
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=200|ply=0012,TINY,stoch_t030_r100,13,12,37,3534,0.203112,1,,8,0.3,1.0,2829,2829,1,1,0,0,0.47628,321,8
